"first_index","second_index","first_sample_id","first_split","first_class","second_sample_id","second_split","second_class","hamming_distance","pixel_correlation","mask_iou","transform","full_pixel_correlation","full_image_mae","full_image_rmse","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate","full_image_psnr","full_image_mismatch_pixels"
"429","558","Glioma__enh_612","train","Glioma","Glioma__enh_792","train","Glioma","12","0.999836","0.75","flip_h","0.999621958","0.518703","0.873859","0.814572247","453","False","49.301974","110827"
"430","559","Glioma__enh_613","train","Glioma","Glioma__enh_793","train","Glioma","10","0.999915","0.576271","flip_h","0.999738633","0.568981","0.969217","0.590034274","1555","False","48.402388","113661"
"431","560","Glioma__enh_614","train","Glioma","Glioma__enh_794","train","Glioma","10","0.999926","0.901639","flip_h","0.999776625","0.52277","0.917235","0.886909373","438","False","48.881191","106234"
"438","5896","Glioma__enh_622","train","Glioma","Glioma__enh_1321","test","Glioma","7","0.999931","1","flip_h","0.999744637","0.680023","1.083029","0.958597764","137","True","47.438006","129943"
"440","5899","Glioma__enh_627","train","Glioma","Glioma__enh_1349","test","Glioma","4","0.999935","0.921429","flip_h","0.999787772","0.643005","1.02747","0.944620971","488","True","47.895421","128254"
"441","1111","Glioma__enh_630","train","Glioma","Glioma__enh_1579","train","Glioma","8","0.999933","0.933333","flip_h","0.999796293","0.65876","1.018929","0.914059814","250","True","47.967928","134349"
"443","460","Glioma__enh_634","train","Glioma","Glioma__enh_652","train","Glioma","12","0.999896","0","flip_h","0.999648835","0.645851","1.028895","0","3021","False","47.883385","127620"
"444","881","Glioma__enh_636","train","Glioma","Glioma__enh_1241","train","Glioma","9","0.999918","0.8","flip_h","0.999719814","0.665188","1.05123","0.8465063","268","False","47.696853","130451"
"445","884","Glioma__enh_637","train","Glioma","Glioma__enh_1244","train","Glioma","6","0.999891","0.891892","flip_h","0.999637361","0.645039","1.031437","0.91700448","389","True","47.861951","126094"
"447","4863","Glioma__enh_639","train","Glioma","Glioma__enh_1251","val","Glioma","8","0.999886","0.822222","flip_h","0.999657412","0.642799","1.008308","0.838020648","910","False","48.058937","130498"
"448","464","Glioma__enh_640","train","Glioma","Glioma__enh_658","train","Glioma","12","0.999911","0.466667","flip_h","0.999719968","0.614452","1.000082","0.509713882","1388","False","48.130091","122806"
"449","897","Glioma__enh_641","train","Glioma","Glioma__enh_1264","train","Glioma","9","0.999874","0.676136","flip_h","0.999598809","0.663185","1.036059","0.700254176","3302","False","47.823116","132712"
"450","903","Glioma__enh_642","train","Glioma","Glioma__enh_1273","train","Glioma","9","0.999895","0.905028","flip_h","0.999643629","0.653957","1.039872","0.900210822","1136","True","47.791208","129103"
"451","906","Glioma__enh_643","train","Glioma","Glioma__enh_1279","train","Glioma","9","0.9999","0.890625","flip_h","0.999694583","0.638035","1.002722","0.924272324","307","True","48.107194","129827"
"451","1812","Glioma__enh_643","train","Glioma","Meningioma__enh_663","train","Meningioma","12","0.984918","0.6","identity","0.97582107","21.695423","31.12709","0.586078955","2789","False","18.268033","260243"
"452","909","Glioma__enh_644","train","Glioma","Glioma__enh_1283","train","Glioma","5","0.999915","0.921569","flip_h","0.999722199","0.6684","1.04221","0.953167217","156","True","47.771703","133046"
"453","913","Glioma__enh_645","train","Glioma","Glioma__enh_1287","train","Glioma","12","0.999929","0.923077","flip_h","0.999801448","0.61689","0.979001","0.959173127","237","True","48.315142","127111"
"454","920","Glioma__enh_646","train","Glioma","Glioma__enh_1295","train","Glioma","11","0.999902","0.8","flip_h","0.999661242","0.665882","1.061191","0.864983535","123","False","47.614936","128817"
"455","5895","Glioma__enh_647","train","Glioma","Glioma__enh_1313","test","Glioma","4","0.999922","0.516129","flip_h","0.999745322","0.632286","1.025664","0.524150566","2857","False","47.910701","124386"
"457","4782","Glioma__enh_649","train","Glioma","Glioma__enh_633","val","Glioma","12","0.999886","0.896552","flip_h","0.999639696","0.641918","1.023305","0.906435911","173","True","47.930700","128112"
"468","5874","Glioma__enh_663","train","Glioma","Glioma__enh_1214","test","Glioma","11","0.99987","0.957447","flip_h","0.999643531","0.629456","0.982913","0.924694708","222","True","48.280503","131482"
"469","852","Glioma__enh_664","train","Glioma","Glioma__enh_1199","train","Glioma","10","0.999866","0.6875","flip_h","0.9995816","0.647949","1.028472","0.680486769","2258","False","47.886955","128326"
"478","846","Glioma__enh_676","train","Glioma","Glioma__enh_1193","train","Glioma","12","0.999918","0.777778","flip_h","0.999735516","0.623138","1.016564","0.828696925","117","False","47.988113","123340"
"487","869","Glioma__enh_688","train","Glioma","Glioma__enh_1219","train","Glioma","7","0.99991","0.774194","flip_h","0.999723228","0.667946","1.028961","0.819799585","1043","False","47.882822","136065"
"547","5935","Glioma__enh_777","train","Glioma","Glioma__enh_1613","test","Glioma","10","0.999909","0.831776","flip_h","0.99970287","0.79649","1.127569","0.819653508","1270","False","47.087941","159909"
"552","1133","Glioma__enh_783","train","Glioma","Glioma__enh_1615","train","Glioma","9","0.999909","0.9","flip_h","0.999683992","0.836006","1.179833","0.884398977","226","False","46.694393","163368"
"555","5787","Glioma__enh_789","train","Glioma","Glioma__enh_608","test","Glioma","11","0.999942","0.868327","flip_h","0.999800298","0.608307","1.017614","0.872672872","2298","False","47.979144","118016"
"556","807","Glioma__enh_790","train","Glioma","Glioma__enh_1136","train","Glioma","9","0.99987","0.915058","flip_h","0.999633285","0.52734","0.916815","0.937796099","1011","True","48.885171","106527"
"562","835","Glioma__enh_796","train","Glioma","Glioma__enh_1177","train","Glioma","8","0.999923","0.823529","flip_h","0.999755509","0.544376","0.947322","0.815240834","1028","False","48.600851","107773"
"564","588","Glioma__enh_798","train","Glioma","Glioma__enh_832","train","Glioma","11","0.999881","0.894737","flip_h","0.999634238","0.544868","0.944473","0.944391635","468","True","48.627015","108473"
"566","5821","Glioma__enh_801","train","Glioma","Glioma__enh_856","test","Glioma","8","0.999888","0.841772","flip_h","0.999675451","0.505116","0.892822","0.855397047","2899","False","49.115509","102586"
"567","611","Glioma__enh_802","train","Glioma","Glioma__enh_862","train","Glioma","9","0.999906","0.653846","flip_h","0.999717704","0.521351","0.924649","0.64590929","2428","False","48.811261","103975"
"568","4818","Glioma__enh_803","train","Glioma","Glioma__enh_904","val","Glioma","7","0.999802","0.636364","flip_h","0.999559722","0.467457","0.830046","0.657752308","2150","False","49.748761","99810"
"571","675","Glioma__enh_808","train","Glioma","Glioma__enh_952","train","Glioma","11","0.999845","0.755906","flip_h","0.999567472","0.507347","0.897188","0.758479314","1944","False","49.073131","103145"
"572","5836","Glioma__enh_809","train","Glioma","Glioma__enh_956","test","Glioma","11","0.999917","0.724138","flip_h","0.999763927","0.527279","0.902874","0.790619765","375","False","49.018259","108973"
"574","711","Glioma__enh_813","train","Glioma","Glioma__enh_1006","train","Glioma","9","0.999928","0.708333","flip_h","0.999797069","0.587353","0.962986","0.777698864","313","False","48.458407","121503"
"575","5847","Glioma__enh_814","train","Glioma","Glioma__enh_1016","test","Glioma","12","0.999909","0.903226","flip_h","0.999719939","0.529579","0.9345","0.934832609","255","True","48.719214","105300"
"578","622","Glioma__enh_819","train","Glioma","Glioma__enh_878","train","Glioma","7","0.999898","0.923077","flip_h","0.999709989","0.512798","0.917871","0.902352344","577","True","48.875170","102646"
"579","5856","Glioma__enh_821","train","Glioma","Glioma__enh_1097","test","Glioma","10","0.999843","0.906832","flip_h","0.999632327","0.532505","0.901834","0.923753666","780","True","49.028270","111933"
"582","731","Glioma__enh_825","train","Glioma","Glioma__enh_1034","train","Glioma","11","0.999925","0.842105","flip_h","0.999807938","0.507862","0.88564","0.757337743","587","False","49.185655","105885"
"584","753","Glioma__enh_828","train","Glioma","Glioma__enh_1059","train","Glioma","11","0.999916","0.067308","flip_h","0.999757898","0.54763","0.917557","0.071693632","12508","False","48.878140","113778"
"585","761","Glioma__enh_829","train","Glioma","Glioma__enh_1070","train","Glioma","10","0.999887","0.742857","flip_h","0.999633459","0.539429","0.94837","0.769631236","531","False","48.591244","106658"
"617","5780","Glioma__enh_870","train","Glioma","Glioma__enh_558","test","Glioma","9","0.999899","0.60241","flip_h","0.999683939","0.58255","0.990926","0.620845921","2008","False","48.209982","113880"
"619","4808","Glioma__enh_873","train","Glioma","Glioma__enh_818","val","Glioma","7","0.999851","0.304348","flip_h","0.99962393","0.548157","0.918966","0.271466314","1103","False","48.864819","114125"
"621","4773","Glioma__enh_875","train","Glioma","Glioma__enh_559","val","Glioma","5","0.999872","0.8","flip_h","0.999671819","0.531906","0.900372","0.8141542","646","False","49.042368","111012"
"674","4771","Glioma__enh_951","train","Glioma","Glioma__enh_545","val","Glioma","11","0.999893","0.367021","flip_h","0.999689923","0.552219","0.945633","0.362535494","7633","False","48.616349","110789"
"771","5817","Glioma__enh_1084","train","Glioma","Glioma__enh_820","test","Glioma","7","0.999893","0.759036","flip_h","0.999715441","0.526585","0.899403","0.792944785","1080","False","49.051718","109243"
"775","4774","Glioma__enh_1088","train","Glioma","Glioma__enh_561","val","Glioma","9","0.999906","1","flip_h","0.999728911","0.540451","0.935773","0.812888199","241","False","48.707392","108666"
"776","5781","Glioma__enh_1091","train","Glioma","Glioma__enh_562","test","Glioma","5","0.999891","0.21978","flip_h","0.999698082","0.501354","0.897679","0.220608575","4508","False","49.068380","101119"
"838","1005","Glioma__enh_1182","train","Glioma","Glioma__enh_1431","train","Glioma","11","0.999929","0.901099","flip_h","0.9997769","0.615719","0.994662","0.888484848","644","False","48.177290","123974"
"839","1025","Glioma__enh_1183","train","Glioma","Glioma__enh_1459","train","Glioma","12","0.999813","0.86","flip_h","0.999470618","0.613087","0.987225","0.883207071","370","False","48.242481","124782"
"840","4907","Glioma__enh_1184","train","Glioma","Glioma__enh_1467","val","Glioma","9","0.999877","0.095238","flip_h","0.999606866","0.632915","1.017102","0.086803371","7259","False","47.983514","125571"
"841","1043","Glioma__enh_1186","train","Glioma","Glioma__enh_1487","train","Glioma","7","0.99993","0.407407","flip_h","0.999758748","0.629623","1.020874","0.439187817","2762","False","47.951364","123819"
"842","1049","Glioma__enh_1187","train","Glioma","Glioma__enh_1494","train","Glioma","7","0.999876","0.934579","flip_h","0.999615062","0.613541","0.995205","0.927323041","499","True","48.172554","122614"
"842","1526","Glioma__enh_1187","train","Glioma","Meningioma__enh_268","train","Meningioma","9","0.98204","0.842105","identity","0.97354603","23.511635","33.972463","0.864309211","990","False","17.508263","259759"
"843","1054","Glioma__enh_1188","train","Glioma","Glioma__enh_1499","train","Glioma","8","0.999907","0.921053","flip_h","0.999730559","0.623013","0.989764","0.941163793","273","True","48.220168","127254"
"843","1538","Glioma__enh_1188","train","Glioma","Meningioma__enh_283","train","Meningioma","6","0.980486","0.734694","identity","0.972797696","19.337978","28.757294","0.69958081","1935","False","18.955843","258815"
"844","4911","Glioma__enh_1189","train","Glioma","Glioma__enh_1504","val","Glioma","10","0.999896","0.467532","flip_h","0.999694453","0.613262","0.992251","0.468155418","5311","False","48.198373","123818"
"845","1075","Glioma__enh_1191","train","Glioma","Glioma__enh_1530","train","Glioma","7","0.999907","0.904762","flip_h","0.999689066","0.66177","1.054783","0.932685116","90","True","47.667538","128780"
"847","1085","Glioma__enh_1194","train","Glioma","Glioma__enh_1545","train","Glioma","9","0.999916","0.918182","flip_h","0.999746217","0.648754","1.025446","0.935750544","443","True","47.912544","129306"
"848","5924","Glioma__enh_1195","train","Glioma","Glioma__enh_1550","test","Glioma","9","0.999887","0.756757","flip_h","0.999650277","0.610909","0.988767","0.730438521","1254","False","48.228920","122400"
"849","1092","Glioma__enh_1196","train","Glioma","Glioma__enh_1554","train","Glioma","7","0.999905","0.712644","flip_h","0.999670773","0.67675","1.072584","0.7056423","1659","False","47.522177","130898"
"849","5039","Glioma__enh_1196","train","Glioma","Meningioma__enh_358","val","Meningioma","10","0.978762","0.794118","identity","","","","","","","17.342227","259914"
"850","4922","Glioma__enh_1197","train","Glioma","Glioma__enh_1558","val","Glioma","1","0.999929","0.908602","flip_h","0.999722447","0.686981","1.094277","0.91522272","1003","True","47.348262","130085"
"851","1098","Glioma__enh_1198","train","Glioma","Glioma__enh_1562","train","Glioma","4","0.999923","0.862745","flip_h","0.999763189","0.633369","1.002157","0.888661094","706","False","48.112090","127804"
"852","1394","Glioma__enh_1199","train","Glioma","Meningioma__enh_59","train","Meningioma","12","0.978035","0.645161","identity","","","","","","","17.450656","259566"
"853","4881","Glioma__enh_1200","train","Glioma","Glioma__enh_1361","val","Glioma","6","0.999919","0.712644","flip_h","0.999726287","0.64756","1.042208","0.714360955","1627","False","47.771718","126314"
"854","5994","Glioma__enh_1201","train","Glioma","Meningioma__enh_71","test","Meningioma","9","0.979462","0.205882","identity","","","","","","","17.518902","259363"
"855","969","Glioma__enh_1202","train","Glioma","Glioma__enh_1367","train","Glioma","11","0.999896","0.747475","flip_h","0.999723451","0.572681","0.930338","0.777350016","1388","False","48.757992","119726"
"856","975","Glioma__enh_1203","train","Glioma","Glioma__enh_1380","train","Glioma","10","0.999877","0.913043","flip_h","0.999654477","0.616837","0.983173","0.922110553","341","True","48.278205","126375"
"857","5904","Glioma__enh_1205","train","Glioma","Glioma__enh_1385","test","Glioma","8","0.999943","0.935484","flip_h","0.999792981","0.679668","1.073876","0.933824592","916","True","47.511721","131258"
"859","4893","Glioma__enh_1207","train","Glioma","Glioma__enh_1409","val","Glioma","12","0.99993","0.695238","flip_h","0.99978631","0.6092","0.985386","0.703004681","1967","False","48.258677","123598"
"860","997","Glioma__enh_1208","train","Glioma","Glioma__enh_1419","train","Glioma","6","0.999897","0.920455","flip_h","0.999702839","0.595684","0.968279","0.903788014","541","True","48.410790","121778"
"862","936","Glioma__enh_1211","train","Glioma","Glioma__enh_1320","train","Glioma","8","0.999891","0.836364","flip_h","0.999628708","0.669365","1.056563","0.917832168","282","True","47.652896","130845"
"862","4982","Glioma__enh_1211","train","Glioma","Meningioma__enh_11","val","Meningioma","8","0.985262","0.770492","identity","0.973828385","22.623829","32.454024","0.846052977","587","False","17.905433","259480"
"863","939","Glioma__enh_1212","train","Glioma","Glioma__enh_1325","train","Glioma","7","0.999889","0.829268","flip_h","0.999656957","0.656189","1.035204","0.860126084","355","False","47.830283","130656"
"864","943","Glioma__enh_1213","train","Glioma","Glioma__enh_1329","train","Glioma","4","0.999909","0.864865","flip_h","0.999684075","0.647659","1.040611","0.833473154","794","False","47.785038","126523"
"865","5898","Glioma__enh_1215","train","Glioma","Glioma__enh_1346","test","Glioma","12","0.999932","0.9375","flip_h","0.999791513","0.625004","1.001496","0.938274265","573","True","48.117818","126712"
"866","1108","Glioma__enh_1216","train","Glioma","Glioma__enh_1573","train","Glioma","8","0.999929","0.774194","flip_h","0.999777474","0.670246","1.035387","0.827891533","311","False","47.828753","135463"
"867","5926","Glioma__enh_1217","train","Glioma","Glioma__enh_1577","test","Glioma","11","0.999923","0.890411","flip_h","0.999754089","0.692211","1.052216","0.911063373","414","True","47.688705","139986"
"868","4788","Glioma__enh_1218","train","Glioma","Glioma__enh_687","val","Glioma","12","0.999931","0.916667","flip_h","0.999770418","0.647892","1.029256","0.932896521","297","True","47.880335","129299"
"870","878","Glioma__enh_1221","train","Glioma","Glioma__enh_1235","train","Glioma","9","0.999924","0.774775","flip_h","0.999751569","0.620121","1.017128","0.77430604","1618","False","47.983290","122343"
"872","907","Glioma__enh_1227","train","Glioma","Glioma__enh_1281","train","Glioma","6","0.999928","0.884615","flip_h","0.999759207","0.639042","1.025406","0.912990196","142","True","47.912891","126079"
"874","921","Glioma__enh_1229","train","Glioma","Glioma__enh_1296","train","Glioma","10","0.999903","0.727273","flip_h","0.999678037","0.679127","1.073709","0.758241758","330","False","47.513071","131333"
"875","4860","Glioma__enh_1231","train","Glioma","Glioma__enh_1220","val","Glioma","7","0.999913","0.858974","flip_h","0.999731587","0.600967","0.981546","0.849196539","732","False","48.292592","120834"
"880","5746","Glioma__enh_1240","train","Glioma","Glioma__enh_325","test","Glioma","12","0.98265","0.320513","flip_h","0.970929162","22.895477","32.011407","0.324064813","3379","False","18.024708","260541"
"883","5875","Glioma__enh_1243","train","Glioma","Glioma__enh_1222","test","Glioma","3","0.999888","0.97619","flip_h","0.99962518","0.651703","1.038941","0.940660112","169","True","47.798983","127629"
"886","5876","Glioma__enh_1248","train","Glioma","Glioma__enh_1223","test","Glioma","9","0.999884","0.775281","flip_h","0.999644201","0.615257","0.995695","0.817582026","1023","False","48.168274","123234"
"889","5877","Glioma__enh_1252","train","Glioma","Glioma__enh_1224","test","Glioma","11","0.99986","0.739394","flip_h","0.999593702","0.626629","0.992693","0.739310605","2768","False","48.194505","127738"
"919","4996","Glioma__enh_1294","train","Glioma","Meningioma__enh_133","val","Meningioma","10","0.98528","0.704348","flip_h","0.973242313","23.109615","33.306966","0.671072151","2439","False","17.680102","260403"
"930","4861","Glioma__enh_1311","train","Glioma","Glioma__enh_1230","val","Glioma","11","0.999907","0.42","flip_h","0.999730278","0.589569","0.959746","0.421913965","3709","False","48.487679","120439"
"938","5788","Glioma__enh_1324","train","Glioma","Glioma__enh_623","test","Glioma","8","0.999896","0.590164","flip_h","0.999681889","0.647499","1.025117","0.622933613","1437","False","47.915334","129274"
"941","5789","Glioma__enh_1327","train","Glioma","Glioma__enh_624","test","Glioma","7","0.999928","0.43617","flip_h","0.999757611","0.670959","1.057516","0.428782895","3473","False","47.645067","131840"
"951","4781","Glioma__enh_1341","train","Glioma","Glioma__enh_626","val","Glioma","9","0.9999","0.906977","flip_h","0.999719944","0.606514","0.970167","0.912634876","251","True","48.393878","125819"
"977","5873","Glioma__enh_1383","train","Glioma","Glioma__enh_1204","test","Glioma","7","0.999882","0.875","flip_h","0.99964394","0.619617","0.988665","0.896943574","263","False","48.229818","126042"
"1019","5009","Glioma__enh_1448","train","Glioma","Meningioma__enh_201","val","Meningioma","10","0.982438","0.745098","flip_h","0.975818088","19.440639","29.383191","0.708444444","984","False","18.768824","259423"
"1033","5870","Glioma__enh_1473","train","Glioma","Glioma__enh_1185","test","Glioma","11","0.999738","0.851852","flip_h","0.999312391","0.626095","0.978878","0.778988544","791","False","48.316231","129313"
"1069","1556","Glioma__enh_1521","train","Glioma","Meningioma__enh_307","train","Meningioma","12","0.98076","0.494118","flip_h","0.970393999","22.678307","32.207551","0.464344337","2937","False","17.971649","260145"
"1093","1592","Glioma__enh_1556","train","Glioma","Meningioma__enh_361","train","Meningioma","11","0.980969","0.512346","flip_h","0.971218459","23.314926","32.946991","0.509360374","5032","False","17.774488","260096"
"1110","5791","Glioma__enh_1576","train","Glioma","Glioma__enh_629","test","Glioma","11","0.999934","0.818182","flip_h","0.999782351","0.679981","1.048661","0.752515091","369","False","47.718103","136133"
"1129","4931","Glioma__enh_1608","train","Glioma","Glioma__enh_1630","val","Glioma","10","0.999931","0.307018","flip_h","0.999766449","0.766338","1.10991","0.307116615","5092","False","47.225052","153928"
"1130","1309","Glioma__enh_1609","train","Glioma","Glioma__enh_1882","train","Glioma","10","0.999924","0.927711","flip_h","0.999736333","0.776825","1.11335","0.935211808","338","True","47.198171","156589"
"1131","1313","Glioma__enh_1610","train","Glioma","Glioma__enh_1886","train","Glioma","8","0.999893","0.785714","flip_h","0.999646686","0.785023","1.126337","0.795599305","353","False","47.097437","156505"
"1134","5813","Glioma__enh_1616","train","Glioma","Glioma__enh_784","test","Glioma","7","0.999937","0.916667","flip_h","0.999781131","0.786755","1.125924","0.914024191","263","True","47.100625","157089"
"1315","4930","Glioma__enh_1888","train","Glioma","Glioma__enh_1611","val","Glioma","10","0.999908","0.882353","flip_h","0.999714912","0.763592","1.093759","0.896045198","552","False","47.352373","156865"
"1357","4785","Meningioma__enh_14","train","Meningioma","Glioma__enh_661","val","Glioma","10","0.977502","0.788462","flip_h","","","","","","","17.961911","259689"
"1358","4873","Meningioma__enh_15","train","Meningioma","Glioma__enh_1322","val","Glioma","8","0.977064","0.545455","flip_h","","","","","","","17.862120","259726"
"1457","4897","Meningioma__enh_155","train","Meningioma","Glioma__enh_1423","val","Glioma","12","0.981943","0.646341","flip_h","0.972924801","17.843296","25.916969","0.645741627","1851","False","19.859119","259551"
"1496","5915","Meningioma__enh_228","train","Meningioma","Glioma__enh_1465","test","Glioma","9","0.981306","0.717742","flip_h","0.969856886","22.201469","32.009855","0.708266004","2347","False","18.025129","259577"
"1500","5916","Meningioma__enh_233","train","Meningioma","Glioma__enh_1468","test","Glioma","7","0.986839","0.792079","flip_h","0.975478709","21.747257","31.198329","0.778448605","2899","False","18.248177","259763"
"1578","4919","Meningioma__enh_337","train","Meningioma","Glioma__enh_1539","val","Glioma","11","0.983047","0.583333","flip_h","0.974324934","22.070335","32.22224","0.492286115","362","False","17.967689","260204"
"1844","2079","Meningioma__enh_717","train","Meningioma","Meningioma__enh_1112","train","Meningioma","1","0.999896","0.937173","identity","0.999842565","0.82415","1.488409","0.940764279","727","True","44.676356","133248"
"1856","2214","Meningioma__enh_774","train","Meningioma","Meningioma__enh_1362","train","Meningioma","7","0.999914","0.849057","flip_h","0.999738638","0.57394","0.965439","0.889362999","363","False","48.436310","115148"
"1858","2151","Meningioma__enh_776","train","Meningioma","Meningioma__enh_1274","train","Meningioma","9","0.999944","0.75","flip_h","0.999815612","0.623764","1.019123","0.710640347","601","False","47.966269","123772"
"1859","5152","Meningioma__enh_777","train","Meningioma","Meningioma__enh_1282","val","Meningioma","8","0.999915","0.965517","flip_h","0.999784368","0.525818","0.888489","0.939512962","231","True","49.157758","111361"
"1861","2179","Meningioma__enh_779","train","Meningioma","Meningioma__enh_1317","train","Meningioma","11","0.999929","0.872727","flip_h","0.999782119","0.538692","0.945327","0.90183513","337","True","48.619166","107537"
"1862","2216","Meningioma__enh_782","train","Meningioma","Meningioma__enh_1365","train","Meningioma","10","0.999923","0.880597","flip_h","0.999760204","0.576019","0.978903","0.908286039","404","True","48.316006","113960"
"1866","2230","Meningioma__enh_787","train","Meningioma","Meningioma__enh_1389","train","Meningioma","11","0.999932","0.953846","flip_h","0.999823388","0.4907","0.861344","0.951820819","598","True","49.427275","103209"
"1870","2245","Meningioma__enh_791","train","Meningioma","Meningioma__enh_1405","train","Meningioma","10","0.999928","0.976331","flip_h","0.99982476","0.528057","0.88938","0.959832407","441","True","49.149058","111876"
