"first_index","second_index","first_sample_id","first_split","first_class","second_sample_id","second_split","second_class","hamming_distance","pixel_correlation","mask_iou","transform","full_pixel_correlation","full_image_mae","full_image_rmse","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate"
"868","4788","Glioma__enh_1218","train","Glioma","Glioma__enh_687","val","Glioma","12","0.999931","0.916667","flip_h","0.999770418","0.647892","1.029256","0.932896521","297","True"
"883","5875","Glioma__enh_1243","train","Glioma","Glioma__enh_1222","test","Glioma","3","0.999888","0.97619","flip_h","0.99962518","0.651703","1.038941","0.940660112","169","True"
"951","4781","Glioma__enh_1341","train","Glioma","Glioma__enh_626","val","Glioma","9","0.9999","0.906977","flip_h","0.999719944","0.606514","0.970167","0.912634876","251","True"
"1134","5813","Glioma__enh_1616","train","Glioma","Glioma__enh_784","test","Glioma","7","0.999937","0.916667","flip_h","0.999781131","0.786755","1.125924","0.914024191","263","True"
"1859","5152","Meningioma__enh_777","train","Meningioma","Meningioma__enh_1282","val","Meningioma","8","0.999915","0.965517","flip_h","0.999784368","0.525818","0.888489","0.939512962","231","True"
"1878","5130","Meningioma__enh_804","train","Meningioma","Meningioma__enh_1081","val","Meningioma","8","0.999928","0.972973","flip_h","0.9997298","0.625969","1.051322","0.926680244","180","True"
"1887","6140","Meningioma__enh_815","train","Meningioma","Meningioma__enh_1190","test","Meningioma","12","0.999935","0.929412","flip_h","0.999830112","0.575001","0.924868","0.946232558","289","True"
"1888","6142","Meningioma__enh_817","train","Meningioma","Meningioma__enh_1195","test","Meningioma","9","0.999934","0.94186","flip_h","0.999801687","0.588791","0.984828","0.941572625","321","True"
"1890","6146","Meningioma__enh_820","train","Meningioma","Meningioma__enh_1206","test","Meningioma","9","0.999923","0.864865","flip_h","0.999727861","0.633305","1.043888","0.906189762","438","True"
"1913","5171","Meningioma__enh_873","train","Meningioma","Meningioma__enh_1436","val","Meningioma","4","0.999926","0.939759","flip_h","0.999760825","0.684544","1.058426","0.946988891","272","True"
"1919","5179","Meningioma__enh_881","train","Meningioma","Meningioma__enh_1465","val","Meningioma","3","0.99993","0.893939","flip_h","0.999751877","0.726994","1.111936","0.962059621","154","True"
"1922","5180","Meningioma__enh_884","train","Meningioma","Meningioma__enh_1474","val","Meningioma","9","0.999928","0.922222","flip_h","0.999775526","0.694717","1.045869","0.918082095","463","True"
"1924","6192","Meningioma__enh_887","train","Meningioma","Meningioma__enh_1485","test","Meningioma","12","0.999948","0.891304","flip_h","0.999800696","0.699577","1.090061","0.91538192","483","True"
"1934","5189","Meningioma__enh_902","train","Meningioma","Meningioma__enh_1545","val","Meningioma","9","0.999949","0.965517","flip_h","0.999811981","0.7234","1.111874","0.92244898","152","True"
"1935","5192","Meningioma__enh_906","train","Meningioma","Meningioma__enh_1566","val","Meningioma","11","0.999933","0.932099","flip_h","0.999778152","0.674309","1.046091","0.953001077","480","True"
"1940","6207","Meningioma__enh_911","train","Meningioma","Meningioma__enh_1586","test","Meningioma","7","0.99991","0.904762","flip_h","0.999750316","0.664436","1.011726","0.908284024","124","True"
"1966","6255","Meningioma__enh_960","train","Meningioma","Meningioma__enh_1958","test","Meningioma","8","0.999934","1","flip_h","0.999746385","0.854771","1.205037","0.961971601","233","True"
"2033","5165","Meningioma__enh_1044","train","Meningioma","Meningioma__enh_1380","val","Meningioma","11","0.999946","0.941964","flip_h","0.999847918","0.568447","0.933257","0.944239214","800","True"
"2035","6178","Meningioma__enh_1048","train","Meningioma","Meningioma__enh_1387","test","Meningioma","11","0.999931","0.958333","flip_h","0.999789078","0.628399","1.002965","0.905778894","300","True"
"2036","6179","Meningioma__enh_1049","train","Meningioma","Meningioma__enh_1388","test","Meningioma","10","0.99993","0.914286","flip_h","0.999813817","0.500237","0.874926","0.934872772","581","True"
"2092","5151","Meningioma__enh_1168","train","Meningioma","Meningioma__enh_1275","val","Meningioma","9","0.999915","0.933962","flip_h","0.999774023","0.562027","0.943005","0.96137273","251","True"
"2094","6162","Meningioma__enh_1171","train","Meningioma","Meningioma__enh_1283","test","Meningioma","7","0.999891","0.769231","flip_h","0.99971157","0.538311","0.921082","0.901763224","78","True"
"2097","6164","Meningioma__enh_1174","train","Meningioma","Meningioma__enh_1289","test","Meningioma","8","0.999927","0.962963","flip_h","0.999754063","0.585819","0.995084","0.934515689","240","True"
"2121","6168","Meningioma__enh_1221","train","Meningioma","Meningioma__enh_1333","test","Meningioma","10","0.999929","0.972527","flip_h","0.999806904","0.555988","0.927755","0.970237065","344","True"
"2165","6139","Meningioma__enh_1299","train","Meningioma","Meningioma__enh_1181","test","Meningioma","11","0.999924","0.9","flip_h","0.999727382","0.803776","1.172033","0.911401598","244","True"
"2170","6141","Meningioma__enh_1306","train","Meningioma","Meningioma__enh_1191","test","Meningioma","12","0.999943","0.950495","flip_h","0.999852178","0.559509","0.910592","0.948955916","330","True"
"2175","6143","Meningioma__enh_1313","train","Meningioma","Meningioma__enh_1197","test","Meningioma","11","0.999947","0.965517","flip_h","0.999846383","0.544247","0.932275","0.960826211","220","True"
"2180","5139","Meningioma__enh_1318","train","Meningioma","Meningioma__enh_1202","val","Meningioma","12","0.999936","0.8125","flip_h","0.999805434","0.581623","0.974249","0.912512716","86","True"
"2187","6148","Meningioma__enh_1326","train","Meningioma","Meningioma__enh_1212","test","Meningioma","11","0.999873","0.973684","flip_h","0.999665015","0.532394","0.914488","0.913617021","203","True"
"2212","5093","Meningioma__enh_1360","train","Meningioma","Meningioma__enh_781","val","Meningioma","12","0.999908","0.9","flip_h","0.999747694","0.529221","0.913303","0.931075937","344","True"
"2247","6132","Meningioma__enh_1407","train","Meningioma","Meningioma__enh_1062","test","Meningioma","12","0.999943","0.967742","flip_h","0.999853061","0.490986","0.862572","0.957261495","422","True"
"2259","5104","Meningioma__enh_1424","train","Meningioma","Meningioma__enh_868","val","Meningioma","9","0.999941","0.969697","flip_h","0.999808805","0.662792","1.027282","0.946990741","458","True"
"2278","6221","Meningioma__enh_1455","train","Meningioma","Meningioma__enh_1679","test","Meningioma","8","0.999902","0.790698","flip_h","0.999624141","0.884747","1.228621","0.916832471","209","True"
"2286","6223","Meningioma__enh_1466","train","Meningioma","Meningioma__enh_1688","test","Meningioma","12","0.999924","0.909091","flip_h","0.99973499","0.710232","1.099987","0.95483871","189","True"
"2291","5207","Meningioma__enh_1473","train","Meningioma","Meningioma__enh_1694","val","Meningioma","11","0.999909","0.92","flip_h","0.999724031","0.647148","1.008009","0.903888025","309","True"
"2298","5211","Meningioma__enh_1482","train","Meningioma","Meningioma__enh_1703","val","Meningioma","9","0.99995","0.925","flip_h","0.999819502","0.709785","1.083715","0.914783253","230","True"
"2311","6226","Meningioma__enh_1519","train","Meningioma","Meningioma__enh_1735","test","Meningioma","10","0.999933","0.974684","flip_h","0.999776415","0.675007","1.046585","0.945783133","288","True"
"2318","5109","Meningioma__enh_1532","train","Meningioma","Meningioma__enh_898","val","Meningioma","6","0.999915","0.920635","flip_h","0.999754855","0.669838","1.017543","0.927580894","282","True"
"2320","5220","Meningioma__enh_1536","train","Meningioma","Meningioma__enh_1746","val","Meningioma","10","0.999932","0.903226","flip_h","0.999785781","0.657211","1.024078","0.921215242","459","True"
"2321","5221","Meningioma__enh_1538","train","Meningioma","Meningioma__enh_1748","val","Meningioma","11","0.99994","0.961538","flip_h","0.999817878","0.633358","1.004368","0.939883268","309","True"
"2326","5222","Meningioma__enh_1544","train","Meningioma","Meningioma__enh_1753","val","Meningioma","11","0.999946","0.933333","flip_h","0.999805948","0.718822","1.109129","0.947785548","112","True"
"2331","5224","Meningioma__enh_1552","train","Meningioma","Meningioma__enh_1759","val","Meningioma","11","0.999921","0.940299","flip_h","0.99976136","0.658478","1.010621","0.940860215","253","True"
"2345","5227","Meningioma__enh_1572","train","Meningioma","Meningioma__enh_1774","val","Meningioma","9","0.999915","0.92","flip_h","0.999719766","0.700169","1.064725","0.908362704","286","True"
"2346","6233","Meningioma__enh_1573","train","Meningioma","Meningioma__enh_1775","test","Meningioma","6","0.999947","0.964912","flip_h","0.999819258","0.663116","1.043707","0.93615257","231","True"
"2362","5232","Meningioma__enh_1601","train","Meningioma","Meningioma__enh_1808","val","Meningioma","12","0.999919","0.961538","flip_h","0.999732541","0.687336","1.053553","0.923110915","522","True"
"2365","5233","Meningioma__enh_1604","train","Meningioma","Meningioma__enh_1810","val","Meningioma","5","0.999927","0.963415","flip_h","0.999749365","0.705017","1.076305","0.953573097","497","True"
"2371","5235","Meningioma__enh_1613","train","Meningioma","Meningioma__enh_1816","val","Meningioma","10","0.999905","0.98","flip_h","0.999650444","0.720745","1.103892","0.938588722","208","True"
"2374","6116","Meningioma__enh_1618","train","Meningioma","Meningioma__enh_922","test","Meningioma","11","0.999936","0.932331","flip_h","0.99979476","0.671993","1.044016","0.908822487","772","True"
"2383","5213","Meningioma__enh_1630","train","Meningioma","Meningioma__enh_1712","val","Meningioma","11","0.999934","0.950495","flip_h","0.999777523","0.675385","1.04515","0.946510913","348","True"
"2391","6224","Meningioma__enh_1639","train","Meningioma","Meningioma__enh_1721","test","Meningioma","10","0.99992","0.916129","flip_h","0.999748258","0.667118","1.031481","0.922243596","768","True"
"2394","5216","Meningioma__enh_1642","train","Meningioma","Meningioma__enh_1723","val","Meningioma","10","0.999936","0.94","flip_h","0.999799119","0.64027","1.014894","0.941386816","377","True"
"2396","5217","Meningioma__enh_1644","train","Meningioma","Meningioma__enh_1724","val","Meningioma","11","0.999945","0.903226","flip_h","0.999844398","0.609959","0.960399","0.905599729","558","True"
"2425","6186","Meningioma__enh_1682","train","Meningioma","Meningioma__enh_1459","test","Meningioma","8","0.999889","0.97619","flip_h","0.999572354","0.830223","1.189067","0.92747942","185","True"
"2428","6188","Meningioma__enh_1689","train","Meningioma","Meningioma__enh_1467","test","Meningioma","8","0.999914","0.883721","flip_h","0.999714801","0.689804","1.068618","0.914254703","237","True"
"2440","6193","Meningioma__enh_1706","train","Meningioma","Meningioma__enh_1486","test","Meningioma","10","0.999955","0.919643","flip_h","0.999818191","0.725979","1.118704","0.933812139","470","True"
"2442","5201","Meningioma__enh_1708","train","Meningioma","Meningioma__enh_1623","val","Meningioma","10","0.999947","0.905882","flip_h","0.999788827","0.728764","1.129634","0.924271109","400","True"
"2446","6215","Meningioma__enh_1714","train","Meningioma","Meningioma__enh_1633","test","Meningioma","9","0.99993","0.964072","flip_h","0.99976851","0.690228","1.065188","0.960855081","423","True"
"2456","5181","Meningioma__enh_1731","train","Meningioma","Meningioma__enh_1514","val","Meningioma","11","0.999942","0.861111","flip_h","0.999805777","0.683544","1.057442","0.909847434","195","True"
"2460","5182","Meningioma__enh_1737","train","Meningioma","Meningioma__enh_1522","val","Meningioma","10","0.99994","0.920354","flip_h","0.999809372","0.66806","1.034426","0.924605894","550","True"
"2474","5190","Meningioma__enh_1760","train","Meningioma","Meningioma__enh_1553","val","Meningioma","8","0.999921","0.971831","flip_h","0.99975569","0.679699","1.033956","0.962525095","168","True"
"2476","6201","Meningioma__enh_1762","train","Meningioma","Meningioma__enh_1555","test","Meningioma","11","0.999946","0.915254","flip_h","0.999829757","0.638302","1.009142","0.934364995","246","True"
"2477","6202","Meningioma__enh_1763","train","Meningioma","Meningioma__enh_1556","test","Meningioma","8","0.999942","0.928571","flip_h","0.999797242","0.665009","1.053127","0.904433922","444","True"
"2496","6198","Meningioma__enh_1794","train","Meningioma","Meningioma__enh_1539","test","Meningioma","8","0.999934","0.958904","flip_h","0.999792794","0.672165","1.037586","0.966695316","155","True"
"2498","5193","Meningioma__enh_1797","train","Meningioma","Meningioma__enh_1578","val","Meningioma","7","0.999926","0.958904","flip_h","0.999744245","0.706722","1.081437","0.959415933","189","True"
"2504","6209","Meningioma__enh_1804","train","Meningioma","Meningioma__enh_1596","test","Meningioma","10","0.999949","0.921053","flip_h","0.999847134","0.618881","0.982389","0.908368201","438","True"
"2531","5114","Meningioma__enh_1867","train","Meningioma","Meningioma__enh_946","val","Meningioma","12","0.999898","0.858974","flip_h","0.999671466","0.804577","1.150155","0.934047469","314","True"
"2533","6282","Meningioma__enh_1869","train","Meningioma","Meningioma__enh_2115","test","Meningioma","12","0.999901","0.848485","flip_h","0.999699001","0.758545","1.092103","0.933591857","137","True"
"2541","5297","Meningioma__enh_1878","train","Meningioma","Meningioma__enh_2278","val","Meningioma","6","0.999925","0.891892","flip_h","0.99974862","0.791042","1.119014","0.93545611","150","True"
"2563","5281","Meningioma__enh_1905","train","Meningioma","Meningioma__enh_2116","val","Meningioma","9","0.999923","0.921053","flip_h","0.999740038","0.793228","1.13285","0.934774067","166","True"
"2600","5286","Meningioma__enh_1956","train","Meningioma","Meningioma__enh_2155","val","Meningioma","7","0.999915","0.934959","flip_h","0.999678368","0.856197","1.211481","0.925373134","585","True"
"2601","5287","Meningioma__enh_1957","train","Meningioma","Meningioma__enh_2156","val","Meningioma","8","0.999927","0.944954","flip_h","0.999712685","0.857849","1.22196","0.967942238","222","True"
"2605","6121","Meningioma__enh_1964","train","Meningioma","Meningioma__enh_961","test","Meningioma","12","0.999936","0.910448","flip_h","0.99977886","0.779236","1.1275","0.933605966","276","True"
"2623","6290","Meningioma__enh_1986","train","Meningioma","Meningioma__enh_2176","test","Meningioma","12","0.99993","0.956522","flip_h","0.999740969","0.815834","1.161559","0.909153476","264","True"
"2627","5118","Meningioma__enh_1994","train","Meningioma","Meningioma__enh_979","val","Meningioma","6","0.999892","0.962963","flip_h","0.999644468","0.829033","1.172389","0.953869615","242","True"
"2667","6302","Meningioma__enh_2059","train","Meningioma","Meningioma__enh_2248","test","Meningioma","8","0.999913","0.931034","flip_h","0.999702848","0.804562","1.152792","0.92266048","300","True"
"2678","6303","Meningioma__enh_2071","train","Meningioma","Meningioma__enh_2256","test","Meningioma","11","0.999938","0.943662","flip_h","0.999771501","0.811836","1.16258","0.927191679","343","True"
"2692","6243","Meningioma__enh_2100","train","Meningioma","Meningioma__enh_1849","test","Meningioma","11","0.999925","0.92","flip_h","0.999730011","0.763905","1.107983","0.928867813","120","True"
"2703","6246","Meningioma__enh_2112","train","Meningioma","Meningioma__enh_1865","test","Meningioma","8","0.999915","0.91954","flip_h","0.999713862","0.81398","1.171439","0.939767913","327","True"
"2704","5242","Meningioma__enh_2113","train","Meningioma","Meningioma__enh_1866","val","Meningioma","8","0.999903","0.978261","flip_h","0.999673865","0.832832","1.176631","0.972273567","165","True"
"2715","5248","Meningioma__enh_2127","train","Meningioma","Meningioma__enh_1919","val","Meningioma","12","0.999919","0.918367","flip_h","0.999734968","0.818733","1.145191","0.926620599","223","True"
"2769","6273","Meningioma__enh_2199","train","Meningioma","Meningioma__enh_2029","test","Meningioma","10","0.99994","0.95122","flip_h","0.999800415","0.774715","1.099273","0.94943927","266","True"
"2778","5250","Meningioma__enh_2210","train","Meningioma","Meningioma__enh_1938","val","Meningioma","10","0.999903","0.916667","flip_h","0.999687403","0.802322","1.142336","0.907032181","78","True"
"2818","6280","Meningioma__enh_2263","train","Meningioma","Meningioma__enh_2080","test","Meningioma","12","0.999934","0.916667","flip_h","0.999783145","0.798321","1.124652","0.933995585","299","True"
"2823","5275","Meningioma__enh_2271","train","Meningioma","Meningioma__enh_2090","val","Meningioma","12","0.999947","0.932584","flip_h","0.99982104","0.79084","1.119773","0.965742251","189","True"
"2836","6247","Meningioma__enh_2289","train","Meningioma","Meningioma__enh_1894","test","Meningioma","10","0.999928","0.935065","flip_h","0.999777722","0.73103","1.06417","0.947722024","249","True"
"3491","6542","Pituitary tumor__enh_930","train","Pituitary tumor","Pituitary tumor__enh_1523","test","Pituitary tumor","10","0.999936","0.92","flip_h","0.999783985","0.628922","1.033216","0.9029971","301","True"
"3492","6455","Pituitary tumor__enh_932","train","Pituitary tumor","Pituitary tumor__enh_1006","test","Pituitary tumor","10","0.999937","0.857143","flip_h","0.999800185","0.618858","1.016871","0.902728351","82","True"
"3497","6457","Pituitary tumor__enh_938","train","Pituitary tumor","Pituitary tumor__enh_1016","test","Pituitary tumor","5","0.999953","0.95614","flip_h","0.999821477","0.626213","1.03671","0.972563077","199","True"
"3512","5529","Pituitary tumor__enh_956","train","Pituitary tumor","Pituitary tumor__enh_1629","val","Pituitary tumor","10","0.999895","0.92","flip_h","0.999643614","0.6129","1.022546","0.942857143","92","True"
"3549","5476","Pituitary tumor__enh_1000","train","Pituitary tumor","Pituitary tumor__enh_1283","val","Pituitary tumor","8","0.999907","0.882353","flip_h","0.999638543","0.824615","1.196569","0.926059513","82","True"
"3580","6518","Pituitary tumor__enh_1040","train","Pituitary tumor","Pituitary tumor__enh_1374","test","Pituitary tumor","3","0.999938","0.96875","flip_h","0.999759276","0.646275","1.078852","0.9361167","127","True"
"3604","5541","Pituitary tumor__enh_1071","train","Pituitary tumor","Pituitary tumor__enh_1696","val","Pituitary tumor","9","0.999865","0.94382","flip_h","0.999505378","0.828621","1.184093","0.943236074","321","True"
"3623","5543","Pituitary tumor__enh_1102","train","Pituitary tumor","Pituitary tumor__enh_1706","val","Pituitary tumor","6","0.999893","1","flip_h","0.999581282","0.852516","1.245634","0.915970516","171","True"
"3624","5546","Pituitary tumor__enh_1104","train","Pituitary tumor","Pituitary tumor__enh_1711","val","Pituitary tumor","8","0.999876","0.882353","flip_h","0.999509747","0.887234","1.236479","0.911290323","110","True"
"3633","6560","Pituitary tumor__enh_1117","train","Pituitary tumor","Pituitary tumor__enh_1642","test","Pituitary tumor","12","0.99994","0.944444","flip_h","0.999760282","0.814484","1.185565","0.923639318","94","True"
"3637","5537","Pituitary tumor__enh_1123","train","Pituitary tumor","Pituitary tumor__enh_1667","val","Pituitary tumor","11","0.999922","0.917808","flip_h","0.999688666","0.830574","1.207723","0.935215583","296","True"
"3649","5641","Pituitary tumor__enh_1140","train","Pituitary tumor","Pituitary tumor__enh_2326","val","Pituitary tumor","8","0.999908","0.928571","flip_h","0.999691257","0.817871","1.152923","0.964964592","188","True"
"3665","5650","Pituitary tumor__enh_1161","train","Pituitary tumor","Pituitary tumor__enh_2388","val","Pituitary tumor","12","0.999897","1","flip_h","0.999683874","0.807709","1.138409","0.930781759","85","True"
"3677","6636","Pituitary tumor__enh_1188","train","Pituitary tumor","Pituitary tumor__enh_2157","test","Pituitary tumor","6","0.999918","0.945813","flip_h","0.999725485","0.80637","1.136392","0.956541769","566","True"
"3679","5614","Pituitary tumor__enh_1190","train","Pituitary tumor","Pituitary tumor__enh_2164","val","Pituitary tumor","4","0.999861","0.959459","flip_h","0.999502033","0.898472","1.247157","0.936695724","305","True"
"3681","6640","Pituitary tumor__enh_1192","train","Pituitary tumor","Pituitary tumor__enh_2172","test","Pituitary tumor","12","0.999887","0.961538","flip_h","0.999591188","0.868343","1.215153","0.923778851","142","True"
"3686","6646","Pituitary tumor__enh_1198","train","Pituitary tumor","Pituitary tumor__enh_2195","test","Pituitary tumor","9","0.999892","0.909091","flip_h","0.999650812","0.798996","1.130595","0.916787265","345","True"
"3710","5497","Pituitary tumor__enh_1233","train","Pituitary tumor","Pituitary tumor__enh_1431","val","Pituitary tumor","6","0.99993","0.961538","flip_h","0.999791069","0.576122","0.963659","0.955921246","150","True"
"3732","5495","Pituitary tumor__enh_1262","train","Pituitary tumor","Pituitary tumor__enh_1422","val","Pituitary tumor","10","0.999937","1","flip_h","0.99977644","0.621925","1.035808","0.912273476","213","True"
"3754","6454","Pituitary tumor__enh_1292","train","Pituitary tumor","Pituitary tumor__enh_1004","test","Pituitary tumor","8","0.999938","0.870968","flip_h","0.999776215","0.639473","1.052109","0.917355372","160","True"
"3762","6544","Pituitary tumor__enh_1302","train","Pituitary tumor","Pituitary tumor__enh_1535","test","Pituitary tumor","8","0.999937","0.961538","flip_h","0.999791333","0.629238","1.040169","0.901334881","170","True"
"3790","5522","Pituitary tumor__enh_1339","train","Pituitary tumor","Pituitary tumor__enh_1587","val","Pituitary tumor","12","0.999932","0.972973","flip_h","0.99974197","0.655849","1.074576","0.924279835","184","True"
"3801","6553","Pituitary tumor__enh_1353","train","Pituitary tumor","Pituitary tumor__enh_1606","test","Pituitary tumor","9","0.999895","0.954545","flip_h","0.999624171","0.788467","1.150793","0.923179693","115","True"
"3806","6554","Pituitary tumor__enh_1361","train","Pituitary tumor","Pituitary tumor__enh_1614","test","Pituitary tumor","11","0.999934","0.967742","flip_h","0.999748005","0.656891","1.07263","0.957932083","83","True"
"3811","6556","Pituitary tumor__enh_1368","train","Pituitary tumor","Pituitary tumor__enh_1622","test","Pituitary tumor","11","0.999924","0.934426","flip_h","0.999771691","0.611286","1.001694","0.973449068","104","True"
"3814","6459","Pituitary tumor__enh_1372","train","Pituitary tumor","Pituitary tumor__enh_1039","test","Pituitary tumor","11","0.999933","0.893617","flip_h","0.999748043","0.805702","1.172666","0.963054187","105","True"
"3815","5530","Pituitary tumor__enh_1375","train","Pituitary tumor","Pituitary tumor__enh_1630","val","Pituitary tumor","8","0.999918","0.897436","flip_h","0.999709869","0.630573","1.049719","0.902818679","231","True"
"3828","6531","Pituitary tumor__enh_1395","train","Pituitary tumor","Pituitary tumor__enh_1450","test","Pituitary tumor","4","0.999894","0.96","flip_h","0.999675523","0.583267","0.979947","0.959367246","131","True"
"3851","5472","Pituitary tumor__enh_1429","train","Pituitary tumor","Pituitary tumor__enh_1231","val","Pituitary tumor","8","0.999941","0.945946","flip_h","0.999808442","0.6049","0.998647","0.922822947","187","True"
"3852","6497","Pituitary tumor__enh_1430","train","Pituitary tumor","Pituitary tumor__enh_1232","test","Pituitary tumor","4","0.999925","0.960784","flip_h","0.999764938","0.578808","0.973834","0.967238212","107","True"
"3856","6520","Pituitary tumor__enh_1436","train","Pituitary tumor","Pituitary tumor__enh_1384","test","Pituitary tumor","4","0.999914","0.877551","flip_h","0.999689914","0.785278","1.157025","0.93245366","215","True"
"3878","5441","Pituitary tumor__enh_1468","train","Pituitary tumor","Pituitary tumor__enh_968","val","Pituitary tumor","6","0.999932","0.875","flip_h","0.999753972","0.625645","1.032453","0.933467742","132","True"
"3897","5470","Pituitary tumor__enh_1492","train","Pituitary tumor","Pituitary tumor__enh_1225","val","Pituitary tumor","9","0.999922","0.954545","flip_h","0.999720816","0.792702","1.167299","0.937138728","87","True"
"3898","5471","Pituitary tumor__enh_1493","train","Pituitary tumor","Pituitary tumor__enh_1226","val","Pituitary tumor","12","0.999919","0.95","flip_h","0.999717146","0.802429","1.167126","0.923622047","97","True"
"3903","6447","Pituitary tumor__enh_1498","train","Pituitary tumor","Pituitary tumor__enh_923","test","Pituitary tumor","2","0.999857","1","flip_h","0.99947424","0.647419","1.065886","0.950941244","86","True"
"3904","6498","Pituitary tumor__enh_1501","train","Pituitary tumor","Pituitary tumor__enh_1238","test","Pituitary tumor","9","0.999886","0.9","flip_h","0.999575547","0.820797","1.195534","0.936213161","158","True"
"3920","5478","Pituitary tumor__enh_1525","train","Pituitary tumor","Pituitary tumor__enh_1294","val","Pituitary tumor","4","0.999897","1","flip_h","0.999676377","0.63401","1.031575","0.911975435","172","True"
"3942","5482","Pituitary tumor__enh_1559","train","Pituitary tumor","Pituitary tumor__enh_1318","val","Pituitary tumor","5","0.999948","0.961905","flip_h","0.999806907","0.605648","1.015912","0.94990451","341","True"
"3943","6509","Pituitary tumor__enh_1560","train","Pituitary tumor","Pituitary tumor__enh_1319","test","Pituitary tumor","3","0.999948","0.969388","flip_h","0.999818122","0.611206","1.01818","0.972477064","171","True"
"3966","6513","Pituitary tumor__enh_1594","train","Pituitary tumor","Pituitary tumor__enh_1343","test","Pituitary tumor","9","0.999946","0.923077","flip_h","0.99980157","0.65403","1.066828","0.916117436","140","True"
"3979","5487","Pituitary tumor__enh_1613","train","Pituitary tumor","Pituitary tumor__enh_1360","val","Pituitary tumor","5","0.999926","0.914286","flip_h","0.999724681","0.642761","1.05089","0.968158745","69","True"
"3985","5488","Pituitary tumor__enh_1623","train","Pituitary tumor","Pituitary tumor__enh_1369","val","Pituitary tumor","10","0.999923","0.928571","flip_h","0.999760852","0.607922","0.999689","0.927068215","201","True"
"4000","5605","Pituitary tumor__enh_1647","train","Pituitary tumor","Pituitary tumor__enh_2100","val","Pituitary tumor","7","0.999926","1","flip_h","0.999730607","0.777115","1.138791","0.921105326","197","True"
"4002","6474","Pituitary tumor__enh_1650","train","Pituitary tumor","Pituitary tumor__enh_1119","test","Pituitary tumor","9","0.99994","0.943262","flip_h","0.999771522","0.796555","1.172903","0.955275874","398","True"
"4003","6625","Pituitary tumor__enh_1651","train","Pituitary tumor","Pituitary tumor__enh_2103","test","Pituitary tumor","10","0.999933","0.961538","flip_h","0.999744982","0.794189","1.161868","0.949690033","422","True"
"4005","6475","Pituitary tumor__enh_1653","train","Pituitary tumor","Pituitary tumor__enh_1121","test","Pituitary tumor","11","0.999883","0.895833","flip_h","0.999572659","0.835785","1.173251","0.91883221","253","True"
"4008","5606","Pituitary tumor__enh_1662","train","Pituitary tumor","Pituitary tumor__enh_2107","val","Pituitary tumor","11","0.9999","0.869565","flip_h","0.999619302","0.867794","1.208991","0.92550738","323","True"
"4009","5609","Pituitary tumor__enh_1664","train","Pituitary tumor","Pituitary tumor__enh_2111","val","Pituitary tumor","9","0.999905","0.978723","flip_h","0.999634835","0.799789","1.176067","0.920409511","241","True"
"4027","6608","Pituitary tumor__enh_1687","train","Pituitary tumor","Pituitary tumor__enh_2032","test","Pituitary tumor","4","0.99994","0.928571","flip_h","0.999753784","0.800034","1.180273","0.95216089","559","True"
"4028","6609","Pituitary tumor__enh_1688","train","Pituitary tumor","Pituitary tumor__enh_2033","test","Pituitary tumor","9","0.999936","0.965174","flip_h","0.999746316","0.807983","1.183146","0.955140043","583","True"
