"first_sample_id","first_split","first_class","first_source","first_image_path","second_sample_id","second_split","second_class","second_source","second_image_path","hamming_distance","pixel_correlation","mask_iou","transform","strong","likely_duplicate"
"Glioma__enh_870","train","Glioma","brisc2025","Glioma/enh_870.png","Glioma__enh_558","test","Glioma","brisc2025","Glioma/enh_558.png","9","0.999899","0.60241","flip_h","False","False"
"Glioma__enh_873","train","Glioma","brisc2025","Glioma/enh_873.png","Glioma__enh_818","val","Glioma","brisc2025","Glioma/enh_818.png","7","0.999851","0.304348","flip_h","True","False"
"Glioma__enh_875","train","Glioma","brisc2025","Glioma/enh_875.png","Glioma__enh_559","val","Glioma","brisc2025","Glioma/enh_559.png","5","0.999872","0.8","flip_h","True","False"
"Glioma__enh_951","train","Glioma","brisc2025","Glioma/enh_951.png","Glioma__enh_545","val","Glioma","brisc2025","Glioma/enh_545.png","11","0.999893","0.367021","flip_h","False","False"
"Glioma__enh_1084","train","Glioma","brisc2025","Glioma/enh_1084.png","Glioma__enh_820","test","Glioma","brisc2025","Glioma/enh_820.png","7","0.999893","0.759036","flip_h","True","False"
"Glioma__enh_1088","train","Glioma","brisc2025","Glioma/enh_1088.png","Glioma__enh_561","val","Glioma","brisc2025","Glioma/enh_561.png","9","0.999906","1","flip_h","False","True"
"Glioma__enh_1091","train","Glioma","brisc2025","Glioma/enh_1091.png","Glioma__enh_562","test","Glioma","brisc2025","Glioma/enh_562.png","5","0.999891","0.21978","flip_h","True","False"
"Glioma__enh_1184","train","Glioma","brisc2025","Glioma/enh_1184.png","Glioma__enh_1467","val","Glioma","brisc2025","Glioma/enh_1467.png","9","0.999877","0.095238","flip_h","False","False"
"Glioma__enh_1189","train","Glioma","brisc2025","Glioma/enh_1189.png","Glioma__enh_1504","val","Glioma","brisc2025","Glioma/enh_1504.png","10","0.999896","0.467532","flip_h","False","False"
"Glioma__enh_1195","train","Glioma","brisc2025","Glioma/enh_1195.png","Glioma__enh_1550","test","Glioma","brisc2025","Glioma/enh_1550.png","9","0.999887","0.756757","flip_h","False","False"
"Glioma__enh_1196","train","Glioma","brisc2025","Glioma/enh_1196.png","Meningioma__enh_358","val","Meningioma","original","Meningioma/enh_358.png","10","0.978762","0.794118","identity","False","False"
"Glioma__enh_1197","train","Glioma","brisc2025","Glioma/enh_1197.png","Glioma__enh_1558","val","Glioma","brisc2025","Glioma/enh_1558.png","1","0.999929","0.908602","flip_h","True","True"
"Glioma__enh_1200","train","Glioma","brisc2025","Glioma/enh_1200.png","Glioma__enh_1361","val","Glioma","brisc2025","Glioma/enh_1361.png","6","0.999919","0.712644","flip_h","True","False"
"Glioma__enh_1201","train","Glioma","brisc2025","Glioma/enh_1201.png","Meningioma__enh_71","test","Meningioma","original","Meningioma/enh_71.png","9","0.979462","0.205882","identity","False","False"
"Glioma__enh_1205","train","Glioma","brisc2025","Glioma/enh_1205.png","Glioma__enh_1385","test","Glioma","brisc2025","Glioma/enh_1385.png","8","0.999943","0.935484","flip_h","True","True"
"Glioma__enh_1207","train","Glioma","brisc2025","Glioma/enh_1207.png","Glioma__enh_1409","val","Glioma","brisc2025","Glioma/enh_1409.png","12","0.99993","0.695238","flip_h","False","False"
"Glioma__enh_1211","train","Glioma","brisc2025","Glioma/enh_1211.png","Meningioma__enh_11","val","Meningioma","original","Meningioma/enh_11.png","8","0.985262","0.770492","identity","True","False"
"Glioma__enh_1215","train","Glioma","brisc2025","Glioma/enh_1215.png","Glioma__enh_1346","test","Glioma","brisc2025","Glioma/enh_1346.png","12","0.999932","0.9375","flip_h","False","True"
"Glioma__enh_1217","train","Glioma","brisc2025","Glioma/enh_1217.png","Glioma__enh_1577","test","Glioma","brisc2025","Glioma/enh_1577.png","11","0.999923","0.890411","flip_h","False","False"
"Glioma__enh_1218","train","Glioma","brisc2025","Glioma/enh_1218.png","Glioma__enh_687","val","Glioma","brisc2025","Glioma/enh_687.png","12","0.999931","0.916667","flip_h","False","True"
"Glioma__enh_1231","train","Glioma","brisc2025","Glioma/enh_1231.png","Glioma__enh_1220","val","Glioma","brisc2025","Glioma/enh_1220.png","7","0.999913","0.858974","flip_h","True","False"
"Glioma__enh_1240","train","Glioma","brisc2025","Glioma/enh_1240.png","Glioma__enh_325","test","Glioma","original","Glioma/enh_325.png","12","0.98265","0.320513","flip_h","False","False"
"Glioma__enh_1243","train","Glioma","brisc2025","Glioma/enh_1243.png","Glioma__enh_1222","test","Glioma","brisc2025","Glioma/enh_1222.png","3","0.999888","0.97619","flip_h","True","True"
"Glioma__enh_1248","train","Glioma","brisc2025","Glioma/enh_1248.png","Glioma__enh_1223","test","Glioma","brisc2025","Glioma/enh_1223.png","9","0.999884","0.775281","flip_h","False","False"
"Glioma__enh_1252","train","Glioma","brisc2025","Glioma/enh_1252.png","Glioma__enh_1224","test","Glioma","brisc2025","Glioma/enh_1224.png","11","0.99986","0.739394","flip_h","False","False"
"Glioma__enh_1294","train","Glioma","brisc2025","Glioma/enh_1294.png","Meningioma__enh_133","val","Meningioma","original","Meningioma/enh_133.png","10","0.98528","0.704348","flip_h","False","False"
"Glioma__enh_1311","train","Glioma","brisc2025","Glioma/enh_1311.png","Glioma__enh_1230","val","Glioma","brisc2025","Glioma/enh_1230.png","11","0.999907","0.42","flip_h","False","False"
"Glioma__enh_1324","train","Glioma","brisc2025","Glioma/enh_1324.png","Glioma__enh_623","test","Glioma","brisc2025","Glioma/enh_623.png","8","0.999896","0.590164","flip_h","True","False"
"Glioma__enh_1327","train","Glioma","brisc2025","Glioma/enh_1327.png","Glioma__enh_624","test","Glioma","brisc2025","Glioma/enh_624.png","7","0.999928","0.43617","flip_h","True","False"
"Glioma__enh_1341","train","Glioma","brisc2025","Glioma/enh_1341.png","Glioma__enh_626","val","Glioma","brisc2025","Glioma/enh_626.png","9","0.9999","0.906977","flip_h","False","True"
"Glioma__enh_1383","train","Glioma","brisc2025","Glioma/enh_1383.png","Glioma__enh_1204","test","Glioma","brisc2025","Glioma/enh_1204.png","7","0.999882","0.875","flip_h","True","False"
"Glioma__enh_1448","train","Glioma","brisc2025","Glioma/enh_1448.png","Meningioma__enh_201","val","Meningioma","original","Meningioma/enh_201.png","10","0.982438","0.745098","flip_h","False","False"
"Glioma__enh_1473","train","Glioma","brisc2025","Glioma/enh_1473.png","Glioma__enh_1185","test","Glioma","brisc2025","Glioma/enh_1185.png","11","0.999738","0.851852","flip_h","False","False"
"Glioma__enh_1576","train","Glioma","brisc2025","Glioma/enh_1576.png","Glioma__enh_629","test","Glioma","brisc2025","Glioma/enh_629.png","11","0.999934","0.818182","flip_h","False","False"
"Glioma__enh_1608","train","Glioma","brisc2025","Glioma/enh_1608.png","Glioma__enh_1630","val","Glioma","brisc2025","Glioma/enh_1630.png","10","0.999931","0.307018","flip_h","False","False"
"Glioma__enh_1616","train","Glioma","brisc2025","Glioma/enh_1616.png","Glioma__enh_784","test","Glioma","brisc2025","Glioma/enh_784.png","7","0.999937","0.916667","flip_h","True","True"
"Glioma__enh_1888","train","Glioma","brisc2025","Glioma/enh_1888.png","Glioma__enh_1611","val","Glioma","brisc2025","Glioma/enh_1611.png","10","0.999908","0.882353","flip_h","False","False"
"Meningioma__enh_14","train","Meningioma","original","Meningioma/enh_14.png","Glioma__enh_661","val","Glioma","brisc2025","Glioma/enh_661.png","10","0.977502","0.788462","flip_h","False","False"
"Meningioma__enh_15","train","Meningioma","original","Meningioma/enh_15.png","Glioma__enh_1322","val","Glioma","brisc2025","Glioma/enh_1322.png","8","0.977064","0.545455","flip_h","False","False"
"Meningioma__enh_155","train","Meningioma","original","Meningioma/enh_155.png","Glioma__enh_1423","val","Glioma","brisc2025","Glioma/enh_1423.png","12","0.981943","0.646341","flip_h","False","False"
"Meningioma__enh_228","train","Meningioma","original","Meningioma/enh_228.png","Glioma__enh_1465","test","Glioma","brisc2025","Glioma/enh_1465.png","9","0.981306","0.717742","flip_h","False","False"
"Meningioma__enh_233","train","Meningioma","original","Meningioma/enh_233.png","Glioma__enh_1468","test","Glioma","brisc2025","Glioma/enh_1468.png","7","0.986839","0.792079","flip_h","True","False"
"Meningioma__enh_337","train","Meningioma","original","Meningioma/enh_337.png","Glioma__enh_1539","val","Glioma","brisc2025","Glioma/enh_1539.png","11","0.983047","0.583333","flip_h","False","False"
"Meningioma__enh_777","train","Meningioma","brisc2025","Meningioma/enh_777.png","Meningioma__enh_1282","val","Meningioma","brisc2025","Meningioma/enh_1282.png","8","0.999915","0.965517","flip_h","True","True"
"Meningioma__enh_804","train","Meningioma","brisc2025","Meningioma/enh_804.png","Meningioma__enh_1081","val","Meningioma","brisc2025","Meningioma/enh_1081.png","8","0.999928","0.972973","flip_h","True","True"
"Meningioma__enh_808","train","Meningioma","brisc2025","Meningioma/enh_808.png","Meningioma__enh_1169","val","Meningioma","brisc2025","Meningioma/enh_1169.png","7","0.99994","0.827586","flip_h","True","False"
"Meningioma__enh_815","train","Meningioma","brisc2025","Meningioma/enh_815.png","Meningioma__enh_1190","test","Meningioma","brisc2025","Meningioma/enh_1190.png","12","0.999935","0.929412","flip_h","False","True"
"Meningioma__enh_817","train","Meningioma","brisc2025","Meningioma/enh_817.png","Meningioma__enh_1195","test","Meningioma","brisc2025","Meningioma/enh_1195.png","9","0.999934","0.94186","flip_h","False","True"
"Meningioma__enh_820","train","Meningioma","brisc2025","Meningioma/enh_820.png","Meningioma__enh_1206","test","Meningioma","brisc2025","Meningioma/enh_1206.png","9","0.999923","0.864865","flip_h","False","False"
"Meningioma__enh_873","train","Meningioma","brisc2025","Meningioma/enh_873.png","Meningioma__enh_1436","val","Meningioma","brisc2025","Meningioma/enh_1436.png","4","0.999926","0.939759","flip_h","True","True"
"Meningioma__enh_881","train","Meningioma","brisc2025","Meningioma/enh_881.png","Meningioma__enh_1465","val","Meningioma","brisc2025","Meningioma/enh_1465.png","3","0.99993","0.893939","flip_h","True","False"
"Meningioma__enh_884","train","Meningioma","brisc2025","Meningioma/enh_884.png","Meningioma__enh_1474","val","Meningioma","brisc2025","Meningioma/enh_1474.png","9","0.999928","0.922222","flip_h","False","True"
"Meningioma__enh_887","train","Meningioma","brisc2025","Meningioma/enh_887.png","Meningioma__enh_1485","test","Meningioma","brisc2025","Meningioma/enh_1485.png","12","0.999948","0.891304","flip_h","False","False"
"Meningioma__enh_899","train","Meningioma","brisc2025","Meningioma/enh_899.png","Meningioma__enh_1535","test","Meningioma","brisc2025","Meningioma/enh_1535.png","8","0.999911","0.835821","flip_h","True","False"
"Meningioma__enh_902","train","Meningioma","brisc2025","Meningioma/enh_902.png","Meningioma__enh_1545","val","Meningioma","brisc2025","Meningioma/enh_1545.png","9","0.999949","0.965517","flip_h","False","True"
"Meningioma__enh_906","train","Meningioma","brisc2025","Meningioma/enh_906.png","Meningioma__enh_1566","val","Meningioma","brisc2025","Meningioma/enh_1566.png","11","0.999933","0.932099","flip_h","False","True"
"Meningioma__enh_911","train","Meningioma","brisc2025","Meningioma/enh_911.png","Meningioma__enh_1586","test","Meningioma","brisc2025","Meningioma/enh_1586.png","7","0.99991","0.904762","flip_h","True","True"
"Meningioma__enh_916","train","Meningioma","brisc2025","Meningioma/enh_916.png","Meningioma__enh_1595","val","Meningioma","brisc2025","Meningioma/enh_1595.png","10","0.999929","0.319149","flip_h","False","False"
"Meningioma__enh_960","train","Meningioma","brisc2025","Meningioma/enh_960.png","Meningioma__enh_1958","test","Meningioma","brisc2025","Meningioma/enh_1958.png","8","0.999934","1","flip_h","True","True"
"Meningioma__enh_986","train","Meningioma","brisc2025","Meningioma/enh_986.png","Meningioma__enh_2042","val","Meningioma","brisc2025","Meningioma/enh_2042.png","10","0.999894","0.833333","flip_h","False","False"
"Meningioma__enh_990","train","Meningioma","brisc2025","Meningioma/enh_990.png","Meningioma__enh_2057","val","Meningioma","brisc2025","Meningioma/enh_2057.png","11","0.999922","0.88764","flip_h","False","False"
"Meningioma__enh_1008","train","Meningioma","brisc2025","Meningioma/enh_1008.png","Meningioma__enh_1350","val","Meningioma","brisc2025","Meningioma/enh_1350.png","4","0.999936","0.847826","flip_h","True","False"
"Meningioma__enh_1011","train","Meningioma","brisc2025","Meningioma/enh_1011.png","Meningioma__enh_1374","test","Meningioma","brisc2025","Meningioma/enh_1374.png","10","0.999926","0.924528","flip_h","False","True"
"Meningioma__enh_1017","train","Meningioma","brisc2025","Meningioma/enh_1017.png","Meningioma__enh_1276","test","Meningioma","brisc2025","Meningioma/enh_1276.png","9","0.99993","0.684211","flip_h","False","False"
"Meningioma__enh_1036","train","Meningioma","brisc2025","Meningioma/enh_1036.png","Meningioma__enh_1367","val","Meningioma","brisc2025","Meningioma/enh_1367.png","12","0.999932","0.816092","flip_h","False","False"
"Meningioma__enh_1044","train","Meningioma","brisc2025","Meningioma/enh_1044.png","Meningioma__enh_1380","val","Meningioma","brisc2025","Meningioma/enh_1380.png","11","0.999946","0.941964","flip_h","False","True"
"Meningioma__enh_1048","train","Meningioma","brisc2025","Meningioma/enh_1048.png","Meningioma__enh_1387","test","Meningioma","brisc2025","Meningioma/enh_1387.png","11","0.999931","0.958333","flip_h","False","True"
"Meningioma__enh_1049","train","Meningioma","brisc2025","Meningioma/enh_1049.png","Meningioma__enh_1388","test","Meningioma","brisc2025","Meningioma/enh_1388.png","10","0.99993","0.914286","flip_h","False","True"
"Meningioma__enh_1070","train","Meningioma","brisc2025","Meningioma/enh_1070.png","Meningioma__enh_1418","val","Meningioma","brisc2025","Meningioma/enh_1418.png","9","0.999936","0.921053","flip_h","False","True"
"Meningioma__enh_1156","train","Meningioma","brisc2025","Meningioma/enh_1156.png","Meningioma__enh_825","test","Meningioma","brisc2025","Meningioma/enh_825.png","12","0.999933","0.64","flip_h","False","False"
"Meningioma__enh_1166","train","Meningioma","brisc2025","Meningioma/enh_1166.png","Meningioma__enh_1264","val","Meningioma","brisc2025","Meningioma/enh_1264.png","11","0.999898","0.906667","flip_h","False","True"
"Meningioma__enh_1168","train","Meningioma","brisc2025","Meningioma/enh_1168.png","Meningioma__enh_1275","val","Meningioma","brisc2025","Meningioma/enh_1275.png","9","0.999915","0.933962","flip_h","False","True"
"Meningioma__enh_1171","train","Meningioma","brisc2025","Meningioma/enh_1171.png","Meningioma__enh_1283","test","Meningioma","brisc2025","Meningioma/enh_1283.png","7","0.999891","0.769231","flip_h","True","False"
"Meningioma__enh_1174","train","Meningioma","brisc2025","Meningioma/enh_1174.png","Meningioma__enh_1289","test","Meningioma","brisc2025","Meningioma/enh_1289.png","8","0.999927","0.962963","flip_h","True","True"
"Meningioma__enh_1194","train","Meningioma","brisc2025","Meningioma/enh_1194.png","Meningioma__enh_816","test","Meningioma","brisc2025","Meningioma/enh_816.png","10","0.99993","0.833333","flip_h","False","False"
"Meningioma__enh_1221","train","Meningioma","brisc2025","Meningioma/enh_1221.png","Meningioma__enh_1333","test","Meningioma","brisc2025","Meningioma/enh_1333.png","10","0.999929","0.972527","flip_h","False","True"
"Meningioma__enh_1270","train","Meningioma","brisc2025","Meningioma/enh_1270.png","Meningioma__enh_1085","val","Meningioma","brisc2025","Meningioma/enh_1085.png","10","0.999928","0.878261","flip_h","False","False"
"Meningioma__enh_1277","train","Meningioma","brisc2025","Meningioma/enh_1277.png","Meningioma__enh_1009","test","Meningioma","brisc2025","Meningioma/enh_1009.png","5","0.999944","0.916667","flip_h","True","True"
"Meningioma__enh_1299","train","Meningioma","brisc2025","Meningioma/enh_1299.png","Meningioma__enh_1181","test","Meningioma","brisc2025","Meningioma/enh_1181.png","11","0.999924","0.9","flip_h","False","True"
"Meningioma__enh_1306","train","Meningioma","brisc2025","Meningioma/enh_1306.png","Meningioma__enh_1191","test","Meningioma","brisc2025","Meningioma/enh_1191.png","12","0.999943","0.950495","flip_h","False","True"
"Meningioma__enh_1313","train","Meningioma","brisc2025","Meningioma/enh_1313.png","Meningioma__enh_1197","test","Meningioma","brisc2025","Meningioma/enh_1197.png","11","0.999947","0.965517","flip_h","False","True"
"Meningioma__enh_1318","train","Meningioma","brisc2025","Meningioma/enh_1318.png","Meningioma__enh_1202","val","Meningioma","brisc2025","Meningioma/enh_1202.png","12","0.999936","0.8125","flip_h","False","False"
"Meningioma__enh_1326","train","Meningioma","brisc2025","Meningioma/enh_1326.png","Meningioma__enh_1212","test","Meningioma","brisc2025","Meningioma/enh_1212.png","11","0.999873","0.973684","flip_h","False","True"
"Meningioma__enh_1334","train","Meningioma","brisc2025","Meningioma/enh_1334.png","Meningioma__enh_1027","test","Meningioma","brisc2025","Meningioma/enh_1027.png","12","0.999939","0.755102","flip_h","False","False"
"Meningioma__enh_1349","train","Meningioma","brisc2025","Meningioma/enh_1349.png","Meningioma__enh_1099","test","Meningioma","brisc2025","Meningioma/enh_1099.png","10","0.999933","0.88","flip_h","False","False"
"Meningioma__enh_1355","train","Meningioma","brisc2025","Meningioma/enh_1355.png","Meningioma__enh_773","val","Meningioma","brisc2025","Meningioma/enh_773.png","11","0.999943","0.774194","flip_h","False","False"
"Meningioma__enh_1360","train","Meningioma","brisc2025","Meningioma/enh_1360.png","Meningioma__enh_781","val","Meningioma","brisc2025","Meningioma/enh_781.png","12","0.999908","0.9","flip_h","False","True"
"Meningioma__enh_1399","train","Meningioma","brisc2025","Meningioma/enh_1399.png","Meningioma__enh_1056","test","Meningioma","brisc2025","Meningioma/enh_1056.png","12","0.999916","0.88","flip_h","False","False"
"Meningioma__enh_1407","train","Meningioma","brisc2025","Meningioma/enh_1407.png","Meningioma__enh_1062","test","Meningioma","brisc2025","Meningioma/enh_1062.png","12","0.999943","0.967742","flip_h","False","True"
"Meningioma__enh_1422","train","Meningioma","brisc2025","Meningioma/enh_1422.png","Meningioma__enh_1648","val","Meningioma","brisc2025","Meningioma/enh_1648.png","11","0.999945","0.827869","flip_h","False","False"
"Meningioma__enh_1424","train","Meningioma","brisc2025","Meningioma/enh_1424.png","Meningioma__enh_868","val","Meningioma","brisc2025","Meningioma/enh_868.png","9","0.999941","0.969697","flip_h","False","True"
"Meningioma__enh_1428","train","Meningioma","brisc2025","Meningioma/enh_1428.png","Glioma__enh_250","test","Glioma","original","Glioma/enh_250.png","9","0.982872","0.806452","identity","False","False"
"Meningioma__enh_1450","train","Meningioma","brisc2025","Meningioma/enh_1450.png","Glioma__enh_389","val","Glioma","original","Glioma/enh_389.png","10","0.980143","0.840909","identity","False","False"
"Meningioma__enh_1455","train","Meningioma","brisc2025","Meningioma/enh_1455.png","Meningioma__enh_1679","test","Meningioma","brisc2025","Meningioma/enh_1679.png","8","0.999902","0.790698","flip_h","True","False"
"Meningioma__enh_1461","train","Meningioma","brisc2025","Meningioma/enh_1461.png","Meningioma__enh_880","val","Meningioma","brisc2025","Meningioma/enh_880.png","7","0.999936","0.75","flip_h","True","False"
"Meningioma__enh_1463","train","Meningioma","brisc2025","Meningioma/enh_1463.png","Meningioma__enh_1685","val","Meningioma","brisc2025","Meningioma/enh_1685.png","10","0.999938","0.885714","flip_h","False","False"
"Meningioma__enh_1464","train","Meningioma","brisc2025","Meningioma/enh_1464.png","Meningioma__enh_1686","val","Meningioma","brisc2025","Meningioma/enh_1686.png","10","0.999917","0.830986","flip_h","False","False"
"Meningioma__enh_1466","train","Meningioma","brisc2025","Meningioma/enh_1466.png","Meningioma__enh_1688","test","Meningioma","brisc2025","Meningioma/enh_1688.png","12","0.999924","0.909091","flip_h","False","True"
"Meningioma__enh_1473","train","Meningioma","brisc2025","Meningioma/enh_1473.png","Meningioma__enh_1694","val","Meningioma","brisc2025","Meningioma/enh_1694.png","11","0.999909","0.92","flip_h","False","True"
"Meningioma__enh_1482","train","Meningioma","brisc2025","Meningioma/enh_1482.png","Meningioma__enh_1703","val","Meningioma","brisc2025","Meningioma/enh_1703.png","9","0.99995","0.925","flip_h","False","True"
"Meningioma__enh_1519","train","Meningioma","brisc2025","Meningioma/enh_1519.png","Meningioma__enh_1735","test","Meningioma","brisc2025","Meningioma/enh_1735.png","10","0.999933","0.974684","flip_h","False","True"
"Meningioma__enh_1532","train","Meningioma","brisc2025","Meningioma/enh_1532.png","Meningioma__enh_898","val","Meningioma","brisc2025","Meningioma/enh_898.png","6","0.999915","0.920635","flip_h","True","True"
"Meningioma__enh_1536","train","Meningioma","brisc2025","Meningioma/enh_1536.png","Meningioma__enh_1746","val","Meningioma","brisc2025","Meningioma/enh_1746.png","10","0.999932","0.903226","flip_h","False","True"
"Meningioma__enh_1538","train","Meningioma","brisc2025","Meningioma/enh_1538.png","Meningioma__enh_1748","val","Meningioma","brisc2025","Meningioma/enh_1748.png","11","0.99994","0.961538","flip_h","False","True"
"Meningioma__enh_1544","train","Meningioma","brisc2025","Meningioma/enh_1544.png","Meningioma__enh_1753","val","Meningioma","brisc2025","Meningioma/enh_1753.png","11","0.999946","0.933333","flip_h","False","True"
"Meningioma__enh_1552","train","Meningioma","brisc2025","Meningioma/enh_1552.png","Meningioma__enh_1759","val","Meningioma","brisc2025","Meningioma/enh_1759.png","11","0.999921","0.940299","flip_h","False","True"
"Meningioma__enh_1558","train","Meningioma","brisc2025","Meningioma/enh_1558.png","Meningioma__enh_1764","test","Meningioma","brisc2025","Meningioma/enh_1764.png","8","0.999946","0.733333","flip_h","True","False"
"Meningioma__enh_1572","train","Meningioma","brisc2025","Meningioma/enh_1572.png","Meningioma__enh_1774","val","Meningioma","brisc2025","Meningioma/enh_1774.png","9","0.999915","0.92","flip_h","False","True"
"Meningioma__enh_1573","train","Meningioma","brisc2025","Meningioma/enh_1573.png","Meningioma__enh_1775","test","Meningioma","brisc2025","Meningioma/enh_1775.png","6","0.999947","0.964912","flip_h","True","True"
"Meningioma__enh_1601","train","Meningioma","brisc2025","Meningioma/enh_1601.png","Meningioma__enh_1808","val","Meningioma","brisc2025","Meningioma/enh_1808.png","12","0.999919","0.961538","flip_h","False","True"
"Meningioma__enh_1604","train","Meningioma","brisc2025","Meningioma/enh_1604.png","Meningioma__enh_1810","val","Meningioma","brisc2025","Meningioma/enh_1810.png","5","0.999927","0.963415","flip_h","True","True"
"Meningioma__enh_1613","train","Meningioma","brisc2025","Meningioma/enh_1613.png","Meningioma__enh_1816","val","Meningioma","brisc2025","Meningioma/enh_1816.png","10","0.999905","0.98","flip_h","False","True"
"Meningioma__enh_1616","train","Meningioma","brisc2025","Meningioma/enh_1616.png","Meningioma__enh_1818","val","Meningioma","brisc2025","Meningioma/enh_1818.png","8","0.999939","0.9","flip_h","True","True"
"Meningioma__enh_1618","train","Meningioma","brisc2025","Meningioma/enh_1618.png","Meningioma__enh_922","test","Meningioma","brisc2025","Meningioma/enh_922.png","11","0.999936","0.932331","flip_h","False","True"
"Meningioma__enh_1628","train","Meningioma","brisc2025","Meningioma/enh_1628.png","Meningioma__enh_1711","val","Meningioma","brisc2025","Meningioma/enh_1711.png","11","0.99995","0.833333","flip_h","False","False"
"Meningioma__enh_1629","train","Meningioma","brisc2025","Meningioma/enh_1629.png","Meningioma__enh_889","test","Meningioma","brisc2025","Meningioma/enh_889.png","11","0.999951","1","flip_h","False","True"
"Meningioma__enh_1630","train","Meningioma","brisc2025","Meningioma/enh_1630.png","Meningioma__enh_1712","val","Meningioma","brisc2025","Meningioma/enh_1712.png","11","0.999934","0.950495","flip_h","False","True"
"Meningioma__enh_1638","train","Meningioma","brisc2025","Meningioma/enh_1638.png","Meningioma__enh_1720","val","Meningioma","brisc2025","Meningioma/enh_1720.png","9","0.999921","0.859375","flip_h","False","False"
"Meningioma__enh_1639","train","Meningioma","brisc2025","Meningioma/enh_1639.png","Meningioma__enh_1721","test","Meningioma","brisc2025","Meningioma/enh_1721.png","10","0.99992","0.916129","flip_h","False","True"
