"sample_id","tumor_type","source_dataset","original_split","split","group_id","image_path","mask_path","image_pixel_sha256","mask_pixel_sha256","image_distinct_values","image_min","image_max","image_mean","image_stddev","mask_distinct_values","mask_binary","foreground_pixels","foreground_fraction","mask_min_x","mask_min_y","mask_max_x","mask_max_y","actual_image_sha256","actual_mask_sha256"
"Glioma__enh_32","Glioma","original","train","train","similarity_31","Glioma/enh_32.png","Glioma/enh_32_mask.png","c6c40fbb65597d69aeaea9efc778320076c7abdcd9113d11619355b6bbeb02e7","ed7d2e08a4d819ff7900b51c16b1a1908af659c6af132f75fecdb2496e6948ec","246","1","255","38.488277","43.694892","2","True","4785","0.0182533264160156","296","94","371","192","cde9918f213a71d732132be1877229f17eca597bf7f5d8475780fa705d2fe738","b452a143d56f5e39a8100119b25f5483585885c25cec289415e3d7692d4e9db9"
"Glioma__enh_33","Glioma","original","val","train","similarity_32","Glioma/enh_33.png","Glioma/enh_33_mask.png","a5d438d3e3dc3bad62919c2f1b549678d4601bdcbc35e5bbb8b8ca8dbdaece13","bcf4416e8344496bc8c061e1f3ffbec1194b02d1525ec66e95fc6f17dc78413f","249","2","255","39.148079","44.984216","2","True","3104","0.0118408203125","307","115","367","184","942d4bc75bc7e70ad7a207cd4d18a5f81d7458cfacfdc8b02a99f33ae681497e","569a29a7b13fa357915f4913923892bc5cdbb6b795e3ffeff04b8512b1e94a01"
"Glioma__enh_35","Glioma","original","val","train","similarity_34","Glioma/enh_35.png","Glioma/enh_35_mask.png","f7de64a354e2f04365cbb537b47965d7da41a5573b91e6a7867e4711516d261a","94efe294ff83ac521dc95fdb9aeceacb29bd4cee77915b394b2c8a5727caf5dc","255","1","255","37.067661","44.241222","2","True","3380","0.0128936767578125","273","105","351","163","fd2a352c5393e55a4088248cc43d4c89e13987ef4d6499a294315ed3adaae372","8829e11e9793927e59f1fa422ee7034b9ceec27612a2e0306b2f559a39703cc4"
"Glioma__enh_37","Glioma","original","train","train","similarity_36","Glioma/enh_37.png","Glioma/enh_37_mask.png","0f86d8cbd0029f14cad2a59d1c5baa8701301ce827afcd77013553d8d300c078","5685aaf49c29a9233a4842beb07fe11888d6f9b695382b6b9bc73cd1b0652908","244","2","255","32.730618","42.631793","2","True","3771","0.0143852233886719","279","145","337","228","8f580d1fedae7204555348c8c53f3c2165313f8cf4e8a5643baeac32cd858e73","2a2c880af3c225a0e0397c1974a53ddf60211bc3598a4b45b2c2a0fea69aab3a"
"Glioma__enh_38","Glioma","original","train","train","similarity_37","Glioma/enh_38.png","Glioma/enh_38_mask.png","b3c131bb899c892bd31a533926f285114d27488d08c0362a32283206b1c26b85","7b854f1b02f1ee9e275ccf8c05e0e1f075261f3da07aa33907f738eda1b658e2","255","1","255","47.740574","59.533795","2","True","8630","0.0329208374023438","264","153","376","255","f4152a1f3e2f37a24eee28fbac6e47dc201d3775939239dcaebba3892ec98198","6f44920b7de06899ed6477963e9ce01a922ee2aa7494c2467bcf884ed8fa5d8b"
"Glioma__enh_39","Glioma","original","train","train","similarity_38","Glioma/enh_39.png","Glioma/enh_39_mask.png","0a83224bcd8476713d8cfd1df5091db9295682521dfadcbf1d8f0667a4a28bb7","3a02c744ca1c5a3bae1db4b38684d6fc6957fd015fe036f56300b582be3bfa0a","255","1","255","41.6903","53.966314","2","True","4709","0.0179634094238281","238","270","326","346","b157fe08d95a95c0f8fb70b535ec8123a29ffb0fd53d52cf2400b435f6233027","55dd5d3da5f9ac3b8ad5ac6e9c52ededab1cf5d04331aa5b3642de317a7ac2b5"
"Glioma__enh_42","Glioma","original","test","train","similarity_41","Glioma/enh_42.png","Glioma/enh_42_mask.png","8bd47fb03adbf4ec996466a36044ac94ed28fdfa1fa6584b75a1e86da53a53a2","bc0ae5f1e9541f8030b57bef63d8475816db8caa833bee126ed3d56ddc6800aa","238","2","255","30.080826","40.449014","2","True","7812","0.0298004150390625","260","122","344","240","1fab7fe69aff05793621f3c014370e5b2d348b9e1f0dc6f6e3edecdd022e2e03","c0682ce2ab5be4e34e320c48e14d5556ce89a9fe45b39fba6a3df0e598b09bed"
"Glioma__enh_43","Glioma","original","train","train","similarity_42","Glioma/enh_43.png","Glioma/enh_43_mask.png","ab882c625e452823f6d14db169f0dd5f150d22805bc985d2209d4fa71bfe42ed","a21259d927f3007b9b7226056b245402080fa555d466a247de2b38948a01ef7f","241","2","255","30.68087","42.270462","2","True","5931","0.0226249694824219","273","143","345","241","cfbe20f8c7dafd831c28281042c4770b80039cbb49ea9b1af895755e2a69f2f8","b485c3412372b0320e91dafab77cd03a9c875cf38ccc95d8931635299b246104"
"Glioma__enh_44","Glioma","original","train","train","similarity_43","Glioma/enh_44.png","Glioma/enh_44_mask.png","fc06ecbf1087a6df1de19bae2527e3fd6aed3e08096988a9b03ab8159b5c8d07","85a15840f9fd70b41c356e35b6296e2659c9f92a6948866213d3131242cfe301","250","2","255","32.709141","46.772621","2","True","5244","0.0200042724609375","273","142","342","238","e99d5278c6ede66c77e1054c8bd99ca956463cdf5bcdcc6088017206e27ba409","1babd08591f31dcc520c2a44b5f545ec971f5edb931dbec9a8026655792e4c87"
"Glioma__enh_45","Glioma","original","train","train","similarity_44","Glioma/enh_45.png","Glioma/enh_45_mask.png","9d80a91a68ab31f0a8d66410c686cfc4486ca37e0e0af92ca6ed7b946c758777","5a7e17e2f051aa7a98c6febfffbcb4a79fd6d874e28d3567531a1c65d4c110a7","252","1","255","32.916531","49.179525","2","True","3633","0.0138587951660156","277","159","343","233","3df386df195d345459a255c317e541169bb2ba33000f37cac39a225fc4f633e6","d2c86838905722e8aa4cc0b03fd27fa126c035fd4d5bb94216b4e43f2a61db1c"
"Glioma__enh_46","Glioma","original","train","train","similarity_45","Glioma/enh_46.png","Glioma/enh_46_mask.png","fc9ba45007190472d3d39d00c03a829f5173dd5effc393fec162363307667395","62b0d9f5f7b3a5f4781e9a76f280b1e173cc90e0f1c681292253eeff66be9f38","254","2","255","33.855667","43.499182","2","True","2596","0.0099029541015625","161","111","218","177","60de634626675b6d916beb0b3d62f1516d86c4d295983e348b33699114841059","831943a07f9e64087ad3f62875b03e1e86bdca5d032339c49e507ff3a0bbbee2"
"Glioma__enh_47","Glioma","original","train","train","similarity_46","Glioma/enh_47.png","Glioma/enh_47_mask.png","ca9c81d3da9628a05924d378bfee1ba41bb18b7e54501984ac53c05e892a73a2","55eeeaa9f8a45ae1df3d286e33cbbf1acf12dc0c81010d4b3f1dca6f4fb19674","238","2","255","30.517284","39.027628","2","True","5863","0.0223655700683594","153","100","234","206","a088756fc687014a551e72ade34c12a8dae02ad70a1a41f4fb909de64d9ac599","a639500d1647253e013765b9e1e8357a4f3a452574c5ec1c5a49394ad4e162e9"
"Glioma__enh_48","Glioma","original","train","train","similarity_47","Glioma/enh_48.png","Glioma/enh_48_mask.png","76c18a14ff69f270a11e651681fc865dfa15d4d781ed2f1fdf684384edd6468b","36f73b5264989492fad5db087a73c9cb1f9b9e18172659fcda578078db1a6337","237","1","255","31.082184","39.754051","2","True","7956","0.0303497314453125","150","105","247","214","a028616c8a8a6f6fc49b568315a02dd0bd48e9a927051d89903e73152323911f","e045508410513e0dd058618331e6e2c40432696f2a775d0435861d6a7d3e35ed"
"Glioma__enh_49","Glioma","original","test","train","similarity_48","Glioma/enh_49.png","Glioma/enh_49_mask.png","0b87b4e0853922a7dd8d6c6da74de4b71272a8f1b39f590eeb1b0091f06a4ac3","597b93c2729d8ec5912f7444a3758e7222c60d22b96f5fb9a1267c0f3484022e","239","1","255","31.736526","41.104642","2","True","9033","0.0344581604003906","141","100","253","218","d682def86243c003c7473621c43e2df8b3a5a03c33212272042d2293d3653a52","45ef5e5b75d894bb88602bc56e3dd197a8db4bcf7dfca5690d2a5b8a2c2305c9"
"Glioma__enh_50","Glioma","original","train","train","similarity_49","Glioma/enh_50.png","Glioma/enh_50_mask.png","771f6ca852c1875e4819965a2f034dd7b76063ec2f452196fed2b1914a650159","ba7aa982821505e028576988315017ad3949d84f5126efeb64841f3eea2055e1","244","2","255","31.282585","40.78923","2","True","8715","0.0332450866699219","145","113","256","219","8518c98c7fa5b14383f07fea875055c2c9d4caadea3d1d660257becc17d79119","cb25a9c28d649e3a1683e7ff4ce82e2ea77dd19c2a3f19c84fac457f15e95e75"
"Glioma__enh_51","Glioma","original","train","train","similarity_50","Glioma/enh_51.png","Glioma/enh_51_mask.png","a54dad5b4d303b953c60d1aaed12eec2b87c2c12234b8f7fc0fb29cdfdd4b31b","a8fc272f8b983b927b89a0e82c19c4c3a3af3fc735d784f6da834863e7540a40","256","0","255","42.348789","58.077645","2","True","2832","0.01080322265625","254","171","307","235","88422750a98d8f27ebca5d19711f314d323c7d73781129ca32ec97af1da56b47","96cd7f72fc0fadd5ec124d74e6a39e1b8e5a1d45d5593aa4d666bd3ac9e5cebe"
"Glioma__enh_52","Glioma","original","train","train","similarity_51","Glioma/enh_52.png","Glioma/enh_52_mask.png","29e2a1bfb16f67bf4f724fa9e462d33b65f0f700c8d153e1d8672b8a4e0131ee","dd8ae056f4d4a2a4d2ea4ff88ad24de5c13bc8f64f7a9de9ba899c4728205f38","240","2","255","30.115593","39.979078","2","True","7555","0.0288200378417969","147","121","253","222","e1ca9df43496400e352aa3102a9bcf61539c23ab5177c93916f490848a48c85b","329abc928c536b58f9f7bd3d970fd2780595467de9595a45a1552ca7b0701069"
"Glioma__enh_53","Glioma","original","train","train","similarity_52","Glioma/enh_53.png","Glioma/enh_53_mask.png","3850725e921e17bb653142494072a59f70b277330a650c2be8764fe3e8b4863b","db0e1d71b7f2c10e934b9047f122ebc753f96d6cae573bc372b347189c88a672","244","2","255","32.518185","43.736751","2","True","5619","0.0214347839355469","157","130","252","227","e614cc33fea7f75cdd6d7b2906c1bbf2dc34f78c5295430d36b9330b67dd1fdb","e7c9f29a6e9b002b0ff6a973714892a056673c896ad35a5d78f031a63efc8dc5"
"Glioma__enh_55","Glioma","original","val","train","similarity_54","Glioma/enh_55.png","Glioma/enh_55_mask.png","650f147257a7c07e80349240c2e2c225f340a38f56147a1d0e55edd3a940639c","2b6eef2e9447971fdc55b9ec98131452d4c03f7761227b1bdc8fb67e9c68b6fa","254","1","255","35.848476","48.828395","2","True","3034","0.0115737915039063","293","119","347","195","7d535183c0584a400866721f37770c24043c11c36722d54d8ec026a0200bc7f9","d5624e97011f46ba728c849e066c0f63c20e6e462e48e9fbc7b3fee065965fcf"
"Glioma__enh_56","Glioma","original","train","train","similarity_55","Glioma/enh_56.png","Glioma/enh_56_mask.png","fd7252f20d6d0f8ebba55227edc9abd825608217110a25f41d6b0264efc03893","7d8c935ada5573e4c69bedae761c8b02913855764c3397c0ac4cec8935857290","253","1","255","34.567867","48.378759","2","True","7847","0.0299339294433594","259","138","354","240","b329a5988138a165be2c1bffdfee61209f0c3d84b2f1a7d2cf46729e6affde1f","2f5fdfdcb5dbe65b76b47f81641150419094b6ee7960e148fb31608a342a5e93"
"Glioma__enh_58","Glioma","original","test","train","similarity_57","Glioma/enh_58.png","Glioma/enh_58_mask.png","289628c1f75c14694446ee37a0639ae10c6bd27268b7f38bf2923834b4c30c66","d3765560d0a53e1d610f99952505fa8f22273d76d0d626f331dc88744b862250","256","0","255","35.016869","54.117662","2","True","6742","0.0257186889648438","260","165","348","286","ef62d6d476f0d8b1a83d73e574b99ac93d154cecec60dbc3156f2708a4c66414","d3073b48efa1b89c1b941307436345c65e82438176c1fb2cc7f441a7aac71f83"
"Glioma__enh_59","Glioma","original","val","train","similarity_58","Glioma/enh_59.png","Glioma/enh_59_mask.png","bc1d1899c103f096bd7a762eda04844367d17d16ac19a67d024cbda5becbf5f3","17c5e44489da7b257cb0aaf017fe25178875813696f8442a03372d2f7b16c09c","255","1","255","50.063465","65.023674","2","True","5197","0.0198249816894531","218","281","294","367","46b96f3652483e957af266c165f0e3243fa8d0e35dc9615ad9d13790696c5c98","78d7acc102984d2540fca9a3dc6b7d6dbef1f574a2e7cf6bd2e1fcae008b38c1"
"Glioma__enh_60","Glioma","original","train","train","similarity_59","Glioma/enh_60.png","Glioma/enh_60_mask.png","511abd447fb491b52ccce32d5647b72fe69faeb8a8f613200257b17b5c82c8a1","087bf0ab0f71302a0377949dc226a63caaf47666849c7b720173296045cd02e6","255","1","255","51.05637","64.878514","2","True","371","0.00141525268554688","293","214","310","240","1ae8d213fcdab802b1786088afa912fb577c6dd602e952e6be0873119a6068db","6a303bab33e99b7af98a4a71daff954c4be932b367911dbdf63b1bee4657375e"
"Glioma__enh_61","Glioma","original","train","train","similarity_60","Glioma/enh_61.png","Glioma/enh_61_mask.png","d4b26eee0bb887d64a53be3cbec7d258551453123f138ae44d06c8ab7d7a0968","b0804325e9dc36613b565a9d2c3fb62c783622c7eade2f440a4edcc8c588403d","255","1","255","46.27573","55.999742","2","True","7547","0.0287895202636719","208","155","316","248","a41590e3db05ba6f8694f21637c7458ebf19cae1f742561502c5da71a9c8f811","c84d2442fd359da177c6ea2d10d9b8deff809c12be80b38796fbf8fae1fbd7c8"
"Glioma__enh_63","Glioma","original","val","train","similarity_62","Glioma/enh_63.png","Glioma/enh_63_mask.png","d4285052216ab530097c06748cae9c8b2eaaac69bc0f16d6c7d6819bfca3a795","b2fa211260cea4624b08e53c5e21db0b26b59efe9b15069500be538dcc9efedb","255","1","255","48.1936","59.125383","2","True","6539","0.0249443054199219","210","163","318","244","b543055c9dd7f9b64c21c5040a2a39ef81bb26a950ee14db1e052a8fd6532254","efb4fbc0593ef63bc80f250126968af88c1b942b4bc5bd2e185809d1d1ae346a"
"Glioma__enh_66","Glioma","original","val","train","similarity_65","Glioma/enh_66.png","Glioma/enh_66_mask.png","0316fed733c1802f1c31b3c5a725770bfb3d781c0175066dcad161ce91de8ae4","57066c1bc84d11974070b72752206d26c41838fb2dc911fe0a214bd0456bbfab","254","2","255","50.182899","62.428151","2","True","3568","0.01361083984375","271","205","322","298","31bb287dba4e1738b580257e1f65d87e0c48fcb008a3f20d7aaedcfc5f3f511c","06f76cb5b3679df5cfb25a2c68eb887b5ec6b1da41455018149279dcc0be5a6f"
"Glioma__enh_68","Glioma","original","train","train","similarity_67","Glioma/enh_68.png","Glioma/enh_68_mask.png","c0d85fd27d85cdd84478752c963c8b74b576dcf4ad6ebda9cc7f805b9dd70aa2","5a52aa67accc34938ebff575fbed85bf40c2092eefa9638772edc57437d02c8c","249","1","255","45.267124","54.638913","2","True","1319","0.00503158569335938","279","215","345","243","2a815a2dc77bcf586c6454eb1871499c6698ad43b8c2a5992a584b569fb5dbcc","8b44d6562728163790669afcecd5a8ce0f8808e2144c96f533be55e192624a52"
"Glioma__enh_69","Glioma","original","train","train","similarity_68","Glioma/enh_69.png","Glioma/enh_69_mask.png","7a184593539f4f12dfeaf50cbc9a478ba04c61e7f83fea4ee5889a5ab9e0bc5e","481acd991b39c42ccc68fe5f5ea7365cd6cbb400b3619be0851077fc09fd8821","255","1","255","50.230671","58.76713","2","True","1771","0.00675582885742188","275","221","350","255","5fbd3b7f2ad1f6e924e36f23266e9216705d12f4ce679349d631eee14e6548cf","f875080f23a3df8aad5093e0ae93dc90d8ecb3b9990aa66cf4c31b287402d6f6"
"Glioma__enh_71","Glioma","original","train","train","similarity_70","Glioma/enh_71.png","Glioma/enh_71_mask.png","b98d0940fa4b0720e67074cc314766855d12f523d0f56395463c49ce2489fa09","3e90c76dcd401463adf8f7cde7d372014fa9cb21995796d240b1e58243a019a1","247","1","255","44.41423","50.899394","2","True","2502","0.00954437255859375","307","240","357","301","afc4850ca795dc56a8c914685a7e4b44ae1fe5c4ad6ad4e35118d19ff20f7aed","bc38624a60aab018ae51d222c6c8f4c7cad32275e5f895774cd0587ce5efdda0"
